/* DATA DESCRIPTION:
	BIOSOPE_MAR1 * LATITUDE: -8.394200 * LONGITUDE: -141.234800 * DATE/TIME: 2004-10-26T20:44:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_MAR2 * LATITUDE: -8.365400 * LONGITUDE: -141.267900 * DATE/TIME: 2004-10-27T22:27:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_MAR3 * LATITUDE: -8.311800 * LONGITUDE: -141.279200 * DATE/TIME: 2004-10-28T21:19:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_MAR4 * LATITUDE: -8.318900 * LONGITUDE: -141.239300 * DATE/TIME: 2004-10-29T22:21:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_NUK1 * LATITUDE: -8.976800 * LONGITUDE: -140.107800 * DATE/TIME: 2004-10-30T14:55:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STA21 * LATITUDE: -33.631300 * LONGITUDE: -75.840900 * DATE/TIME: 2004-12-05T14:52:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB1 * LATITUDE: -11.739300 * LONGITUDE: -134.099300 * DATE/TIME: 2004-11-03T18:09:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB2 * LATITUDE: -13.539800 * LONGITUDE: -132.116500 * DATE/TIME: 2004-11-04T19:20:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB3 * LATITUDE: -15.530100 * LONGITUDE: -129.919700 * DATE/TIME: 2004-11-05T20:27:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
	BIOSOPE_STB4 * LATITUDE: -17.232100 * LONGITUDE: -127.973100 * DATE/TIME: 2004-11-06T19:31:00 * LOCATION: South Pacific Ocean * CAMPAIGN: BIOSOPE (URI: https://doi.org/10.17600/4010100) * BASIS: L Atalante (URI: https://www.flotteoceanographique.fr/en/Facilities/Vessels-Deep-water-submersible-vehicles-and-Mobile-equipments/Deep-sea-vessels/L-Atalante) * METHOD/DEVICE: Optical sensor (OS)
