wave,PACE_sig
339,0.00123605
341,0.00120005
344,0.0011657
346,0.001124
348,0.00108925
351,0.0010559
353,0.0010236
356,0.00099465
358,0.00096325
361,0.0009336
363,0.00090640003
366,0.00088145
368,0.00085915
371,0.00083715003
373,0.0008174
375,0.00079145003
378,0.00077115
380,0.00075485
383,0.0007348
385,0.00071575
388,0.00069985003
390,0.000684325
393,0.000668225
395,0.0006512
398,0.0006351
400,0.0005704
403,0.0005589
405,0.00054725
408,0.0005347
410,0.00052345
413,0.00051279995
415,0.0005024
418,0.00049194996
420,0.00048219995
422,0.00047305005
425,0.00046374998
427,0.00045499997
430,0.0004442
432,0.00043555
435,0.00042702502
437,0.00041955
440,0.0004114
442,0.00040365
445,0.00039585005
447,0.00038915
450,0.0003827
452,0.00037589995
455,0.0003685
457,0.00036139996
460,0.00035580003
462,0.00034889998
465,0.00034235
467,0.000335
470,0.00032840006
472,0.00032194995
475,0.00031645002
477,0.00031104998
480,0.0003059
482,0.00030069996
485,0.00029610004
487,0.0002913
490,0.00028629997
492,0.00028084998
495,0.0002757
497,0.00027079997
500,0.00026620005
502,0.00026190002
505,0.00025699998
507,0.00025255
510,0.00024814997
512,0.00024355005
515,0.00023939996
517,0.00023530005
520,0.00023114996
522,0.00022829999
525,0.00022365001
527,0.00021990004
530,0.00021624996
532,0.00021245005
535,0.00020949997
537,0.00020659994
540,0.00020254997
542,0.0001989
545,0.00019539997
547,0.00019195
550,0.00018850004
553,0.00018534996
555,0.00018155004
558,0.00017899997
560,0.00017595
563,0.00017230003
565,0.00016960001
568,0.00016675005
570,0.00016359997
573,0.00016035
575,0.00015744998
578,0.00015440001
580,0.00015155005
583,0.00014905003
586,0.00014639995
588,0.00014314998
591,0.00014170003
593,0.00013920001
596,0.00013609999
598,0.00013269996
601,0.00012810004
603,0.00012564997
605,0.00012424996
608,0.0001224
610,0.00012089999
613,0.00011839997
615,0.000116399955
618,0.00011374999
620,0.00011230004
623,0.000110400026
625,0.00010894996
627,0.000107600004
630,0.000106550055
632,0.00010485004
635,0.00010315003
637,0.000101199956
640,9.945e-05
641,9.834999e-05
642,9.7700045e-05
643,9.700004e-05
645,9.590003e-05
646,9.5000025e-05
647,9.440002e-05
648,9.3800016e-05
650,9.274995e-05
651,9.2049944e-05
652,9.059999e-05
653,8.9699985e-05
655,8.889998e-05
656,8.815003e-05
657,8.705002e-05
658,8.619996e-05
660,8.525001e-05
661,8.4499945e-05
662,8.3600054e-05
663,8.270005e-05
665,8.2049984e-05
666,8.114998e-05
667,8.030003e-05
668,7.9449965e-05
670,7.900002e-05
671,7.844996e-05
672,7.724995e-05
673,7.68e-05
675,7.644994e-05
676,7.575005e-05
677,7.505005e-05
678,7.425004e-05
679,7.3450035e-05
681,7.279997e-05
682,7.1950024e-05
683,7.135002e-05
684,7.0599956e-05
686,7.005001e-05
687,6.939995e-05
688,6.865e-05
689,6.784999e-05
691,6.7100045e-05
692,6.624998e-05
693,6.5649976e-05
694,6.470003e-05
696,6.4249965e-05
697,6.350002e-05
698,6.2949955e-05
699,6.210001e-05
701,6.15e-05
702,6.0799997e-05
703,5.995005e-05
704,5.9199985e-05
706,5.865004e-05
707,5.7850033e-05
708,5.7050027e-05
709,5.625002e-05
711,5.5650016e-05
712,5.4899952e-05
713,5.4450007e-05
714,5.3850003e-05
717,5.309994e-05
719,5.2700052e-05
