station,s_cdom_nm1,s_nap_nm1
C4023000,0.016460300691864837,0.012726490559620628
C4023030,NA,0.017166818670707226
C4023060,NA,0.011840579666392813
C4024000,0.017881322437553495,0.012414567702454738
C4025000,0.01800332538658261,0.012611753345360853
C4025065,NA,0.009719577713505382
C4026000,0.01871090181608374,0.01138569686047931
C4027000,0.0275538000377011,0.010620574840322963
C4027035,NA,0.012021698940080299
C4028000,0.01638007538934379,0.011348004607497478
C4028045,NA,0.011530296624998247
C4028055,NA,0.011814403056809477
C4029000,0.021937429787291827,0.013583678109772087
C4029040,NA,0.01117459430883807
C4030000,0.01873229242178365,0.012993628022727126
C4030070,NA,0.009516534533722192
C4031000,0.026790607125441276,0.011330789444474706
C4031015,NA,0.011627309475863327
C4032000,0.017700364534248572,0.009966538914838187
C4032065,NA,0.011668519575936384
C4033000,0.018284359062931275,0.011177221286893715
C4033040,NA,0.011151924928381301
C4034000,0.02018857680905245,NA
C4034060,NA,0.009430978701892927
C4035000,0.022685948417489363,0.011425412001386083
C4035084,NA,0.009287372677176975
C4036000,0.01502684092275117,0.012274021062466623
C4037000,0.016165375775230383,0.012294217506153515
C4038000,0.014614125254204326,0.012168337838542846
C4038050,NA,0.011276598668693898
C4039000,0.015345273041680492,NA
C4039070,NA,0.011605566070508886
C4040000,0.019878756372591413,0.01226008858389991
C4041000,0.013125255414538007,0.010469562089693227
C4042000,0.026128693240837983,0.01163092932837189
C4044000,0.019831665741889444,0.01151477941672676
C4044053,NA,0.01242844789909505
C4045000,0.015861260677609616,0.014457281594494222
C4045073,NA,0.012785805746832165
C4046000,0.015425147529303997,NA
C4046070,NA,0.012399645862395009
C4047000,0.015777832612850352,0.01434149055792336
C4048000,0.015419352237695541,0.014341890291571216
C4048010,NA,0.013018534702906301
C5005000,0.008104836865265422,0.010636629958387924
C5006000,0.015001794757773345,0.009943155169318646
C5006066,0.009668622221707909,0.013357087466320632
C5007000,0.010909585316596516,0.009861833698589943
C5007015,0.00477249340286136,0.010135999568299994
C5008000,0.017891156692063342,0.012097641536195138
C5008009,0.017776304648016748,0.01150398414959764
C5009000,0.01827924512123079,0.008249751679459237
C5009002,NA,0.009710790821512303
C5009015,0.018285089538568743,NA
C5010000,0.018084035440480584,0.009258691748939682
C5011000,0.017922158779386098,0.009732994797636738
C5012000,0.017695892092621103,0.011827970757433007
C5013000,0.017777389743139055,0.0129767340844522
C5015000,0.017188061241610455,0.009948701943727059
C5015012,0.01652921366011055,0.009748751128115357
C5016000,0.017631503388669423,0.012400040451855224
C5017000,0.01718825497791457,0.010585224600608489
C5018000,0.017326740485575715,0.010161171697630448
C5019000,0.018365210210238448,0.010165956640363415
C5020000,0.01887276340122124,0.010914832996502725
C5021000,0.017538774910147194,0.010132502444508628
C5022000,0.016609442204156742,0.010740425223049885
C5023000,0.01638734563558809,0.009759700824469229
C5024000,0.017232984511496376,0.011451298799276248
C5025000,0.016134709221568417,0.011870387373677628
C5026000,0.017718658836656513,0.011929571375459427
C5027000,0.017546839280779356,0.011848010360315736
C5028000,0.016783487677055547,0.015109738735159717
C5029000,0.018878329097084697,0.008153818410390057
C5030000,0.01656221186943753,0.011733509957929548
C5030023,0.016546595544856678,0.011051780321122398
C5031000,0.01828058391980297,0.010700963042933526
C5032000,0.01670165354396786,NA
C5033000,0.016418775484092644,NA
C5033015,0.018404390535541427,0.011275906610607128
C5034000,0.017272573782784812,0.00955635288952738
C5034013,0.01643435971404179,0.010766260328590347
C5035000,0.015624858387709792,0.01042671603599798
C5035012,0.01743349919972226,0.00840274888520026
C5036000,0.016611534956192178,0.010562730194400067
C5036013,0.018223876291284462,0.011459785955191894
C5037000,0.016731856687303332,0.0111340332591793
C5037013,0.016241382911803878,0.011507116717389158
C5038000,0.016763880049923224,0.009591494819972863
C5039000,0.018369506290001093,0.008818115155086527
C5040000,0.01789053473930883,0.009130429504292404
C5041000,0.018177220137889815,0.009384422640297938
C5042000,0.018731372354961966,0.009487148831052046
C5043000,0.017503511747214658,0.009944006220365897
C5044000,0.017652154609753782,0.009425618540759483
C5045000,0.01840490185028396,0.011834401082743348
C5046000,0.01604974370168262,0.011435021087843264
C5047000,0.01640834833354121,0.010656378274185299
C5048000,0.01672105915460345,0.012902682633618602
C5049000,0.015828081824892575,0.011569390937298366
C5049017,0.015250620321461359,0.011180936491588134
C5050000,0.01591835876476757,0.00950612268335657
C5050020,0.013665997714964991,0.01203248118588024
C5051000,0.016158832819238956,0.011196159117886954
C5052000,0.016413860733615372,0.012783917818127632
C5053000,0.018102002576574523,0.010907216346039496
C5053025,0.017486366084478493,0.012140892263148352
C5054000,0.017761661344683558,0.011758550454824759
C5055000,0.017788247251896726,0.011091909316601957
C5056000,0.01683126630694132,0.011532007943110163
C5057000,0.017909647725713813,0.008767484713984409
C5058000,0.01748382139691223,0.011713531905277295
C5059000,0.017482316878146668,0.011625525896478906
C5060000,0.017605548650196163,NA
C6001000,0.019366603674268637,0.01069779532458894
C6002000,0.020537961933409742,0.010620132852918613
C6003000,0.018983560864032682,0.010780964910781074
C6004000,0.01912299479046607,0.010113908360742956
C6005000,0.018555726817822554,0.01009376703484463
C6006000,0.01804960346718178,0.010062543029198649
C6007000,0.01918188709491189,0.01060476244032028
C6008000,0.021069353663985223,0.011463471625490683
C6009000,0.022825329541891506,0.010671040791226471
C6010000,0.020160490088096998,0.011035291921218163
C6011000,0.020053982727055844,0.011244626015655046
C6012000,NA,0.011209969124801425
C6013000,NA,0.01068318282402461
C6014000,NA,0.010677246532319449
C6015000,NA,0.013171048727800935
C6016000,NA,0.010564142432732881
C6017000,NA,0.010727511646400874
C6018000,0.019846883076211012,0.011879644295701772
C6019000,0.0165077683727573,0.011644679230946496
C6020000,0.01999937456606251,0.0117031891932016
C6021000,0.019264822833627526,0.010751798079336376
C6022000,0.019738322133562556,0.012149946829870473
C6023000,0.01934958435000059,0.013955945542128687
C6024000,0.020206014251254945,0.012872981354425484
C6025000,0.01868905583098404,0.011596473055338405
C6026000,0.018224611787679156,0.011304112293115499
C6027000,0.018115259007808304,0.009724209385552357
C6028000,0.01918317086977498,0.008527168444569085
C6029000,0.01931734876121432,0.009377250898006251
C6030000,0.01797976957455715,0.008573338871104206
C6031000,0.019155672079008538,0.010923103054062097
C6032000,0.020148342015402207,0.010830387078408754
C6033000,0.01974998395356921,0.011145858466906862
C6034000,0.01990957582394295,0.013022665736335867
C6035000,0.01779235342283357,0.011716823295306628
C6036000,0.019748207587042765,0.01147168995357666
C6037000,0.018889297347278237,0.011937520272496564
C6038000,0.017612567188715757,0.012564361329565971
C6039000,0.017159703445870405,NA
C6040000,0.018423338515056068,0.012847658174981276
C6041000,0.017375836023995693,0.014068925726465358
C6042000,0.017782375385380893,0.011915801483201167
C6043000,0.01815875659424549,0.011567454588030532
C6044000,0.018342415452901967,0.011806365551649638
C6045000,0.018568083796329314,0.011608990572352908
C6046000,0.016980056716586086,0.01143390170724271
C6047000,0.018275062691731337,0.011498571529551716
C6048000,0.017064145475779204,NA
C6049000,0.01798259998196899,0.010080904083989933
C6050000,0.01838256367282807,0.0111946966938891
C6051000,0.018923413871693148,0.011100551173067715
C6052000,0.01852545103569612,0.011835423786797908
C6053000,0.017592261649426757,0.011561142231645486
C6054000,0.01792411488291581,0.01205849160515311
C6055000,0.018289889763052247,0.011606436900372068
C6056000,0.018073304951021305,0.012017491704167155
C6057000,0.01806515428480662,0.01167381084513275
C6058000,0.0184485692552307,0.010297141143033251
C6059000,0.01757540151371002,0.009806452665895117
C6060000,0.01771522175553828,0.011648911976077956
C6061000,0.017835213185996925,0.01003883255714329
C6062000,0.017829865637782306,0.011277867617202215
C6063000,0.017933894089807684,0.010966930770493426
C6064000,0.01778344220310692,0.010516382715339771
C6065000,0.01688847480730253,0.011300770432277526
C6066000,0.01679342022674962,0.009724960656118322
C6067000,0.01763488208540373,0.009359259031606013
C6068000,0.0152137012348136,0.00955571798164727
C6069000,0.019521638373705345,0.01154430689159031
C6070000,0.018127214972937244,0.010656344781828857
C6071000,0.01677636958221584,0.011702396208741547
C6072000,0.017963101858452686,0.01159107113874376
C6073000,0.016970401031372154,0.011242642962710525
C6074000,0.01723748092604714,0.010032749923068733
C6075000,0.017120781427479807,0.009847641682110903
C6076000,0.0175200962689955,0.009909614043555977
C6077000,0.014796239399704618,0.009308765536947176
C6078000,0.020115013408689486,0.011409813099000613
C6079000,0.017684537698780714,NA
C6080000,0.017696933263810884,0.011173904137255948
C6081000,0.01719347108496303,0.011731448639830179
C6082000,0.017318671941645398,0.011053089482506499
C6083000,0.017335375090811934,0.010219672085388603
C6084000,0.01684834871012078,NA
C6085000,0.018424342881761948,0.01162854780801472
C6086000,0.018572794090072585,0.011390702882573597
C6087000,0.01777114898815772,0.011126193856480626
C6088000,0.018030385092153375,0.011219951226828145
C6089000,0.017785975597988505,0.010119394272639014
C6090000,0.017608538415134167,0.010919744206907202
C6091000,0.01791727270116502,0.011398432909102928
C6092000,0.017898415457549225,0.010868595883860343
C6093000,NA,0.011392382914865848
C6094000,0.017021451202342927,0.011654105239330753
C6095000,0.01690943851992238,0.011136666926470945
C6096000,0.016381051398703352,0.011216099641586045
C6097000,0.01686598771329406,0.010926576065357895
C6098000,0.016550914241810707,0.010977226279396101
C6099000,0.016499440307312117,0.011572849581599544
C6100000,0.01650067735449949,0.009391965849491276
C6101000,0.017033552252978243,0.011431103086512144
C6102000,0.017886775868542842,0.011255886254308307
C6103000,0.017784326012406003,0.011472599514170668
C6104000,0.01774230670142013,0.011254730439358158
C6105000,0.01766109661204714,0.011374871263224172
C6106000,0.01739520213924635,0.00999132170928396
C6107000,0.016430181953273067,0.011967275178709512
C6108000,0.016655213665753257,0.010940135251854614
C6109000,0.016175647556679294,0.010726117303258577
C6110000,0.015671340937841532,NA
C6111000,0.015975789072955836,0.010832935041621201
C6112000,0.015908398233224996,0.012010022239607085
C6113000,0.0159706861663383,0.011859974181847812
C6114000,0.017729236766877862,0.011433070090378215
C6115000,0.01772172309538682,0.011351141601343184
C6116000,0.017609485173669306,0.01117228311295963
C6117000,0.017489484757407782,0.011096537218571536
C6118000,0.017619119832623435,0.011275130923525473
C6119000,0.017570123376636163,0.010955851835956237
C6120000,0.01761252304858287,0.011571099782777016
C6121000,0.01730349046426279,NA
C6122000,0.01910170907675844,0.008021815442965735
C6123000,0.019124184346080538,0.007909706651446618
C6124000,0.019365538260748622,0.008371973835327881
C6125000,0.01938174286331259,0.009586523940151607
C6126000,0.01988320916713829,NA
C6127000,0.019557810721971818,0.00930607749579897
C6128000,0.01960137944089746,0.008560780681070846
C6129000,0.019586416283700035,0.010063958395020231
C6130000,0.019611960747713115,0.01068441699945505
C6131000,0.019393596309305806,0.009841909270878805
C6132000,0.01934619664558589,0.00982016405514056
C6133000,0.019566694443798105,0.010035610340756992
C6134000,0.018293119947582155,0.009677172631472662
C6135000,0.019160369659295486,0.00974547055840663
C6136000,0.019085100634019254,0.009685705588333482
C6137000,0.018853417458247142,0.009623452265564067
C6138000,0.01893523407168953,0.007546043377891205
C6139000,0.018802074188446795,0.008822929814711956
C6140000,0.019272354355257506,0.01067495432848359
C6141000,0.019971840939598095,0.00930675464007002
C6142000,0.01932382866568629,0.0098418581896452
C6143000,0.01956706329151853,0.00990880254433312
C6144000,0.01990037595022643,0.010150844432515635
C6145000,0.019973099773831767,0.009934123287656336
C6146000,0.01979300820473146,0.009927473982206765
C6147000,0.01966481241735116,0.00991339960848852
C6148000,0.019394207596075574,0.009173842647220761
C6149000,0.01892513482331138,0.009964740736288622
C6150000,0.01948994002453379,0.00950178793096653
C6151000,0.01899066031564606,0.009509540286011796
C6152000,0.018834219987486293,0.010400142267569983
C6153000,0.019791743141766925,NA
C6154000,0.019469080213271404,0.009285326484607209
C6155000,0.019499840468479104,0.010321459987505178
C6156000,0.0195298281928635,0.008935007508078168
C6157000,0.019027476398616617,0.010164194352937684
C6158000,0.019108229960202824,0.008340833209897314
C6159000,0.019000824074868576,0.008211888776022021
C6160000,0.018997532123022225,0.009339131200918857
C6161000,0.01858353703541447,0.009625806604062905
C6162000,0.019107853554924385,0.009753807447954729
C6163000,0.020047672114896747,0.010308633829023065
C6164000,0.019591332453887552,0.009244286849175092
C6165000,0.019796037855395354,0.009157784834188462
C6166000,0.019621210532703753,0.009252949053859462
C6167000,0.019645385493843526,0.009359259031606013
C6168000,0.019490182557064563,0.009676480073480096
C6169000,0.020632049489390684,NA
C6170000,0.020626344760496785,0.008867705616256561
C6171000,0.020241011080526686,0.009669107929151228
C6172000,0.020097840130338725,0.009685002520537417
C6173000,0.02001962097914438,0.008849297139549633
C6174000,0.019900803971439777,0.008673214123462966
C6175000,0.019589608729181553,0.008803503854783174
C6176000,0.020001317857961227,0.009878446125144883
C6177000,0.018594047226383078,0.008591655264213252
C6178000,0.019185585210766187,0.009011994263880475
