station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C6165000,3.4465,7.21157,1.478685,0.426069,2.45783,0.246234,0.160918,0.043189,0,0.191535,0.04614,0.55738,0,0.068018,0,0.705193,0.033179
C6166000,4.152373,9.206228,2.373103,0.354325,3.79934,0.220779,0.13588,0.044034,0,0.07609,0.044854,0.433862,0,0.051111,0,0.96904,0.054541
C6167000,4.20364,6.352942,1.364568,0.30229,2.136764,0.201956,0.141305,0.046596,0,0.130242,0.015741,0.318202,0,0.069151,0,0.579469,0.055454
C6168000,0,4.749648,1.140387,0.249268,1.684274,0.126563,0.041717,0,0,0.065088,0.018683,0.313135,0,0.023812,0,0.437921,0.050997
C6169000,3.975793,7.320828,1.254475,0.308561,1.895091,0.316411,0.191332,0,0,0.22411,0.036201,0.61814499999999994,0,0.086067,0,0.509527,0.099569
C6170000,1.020181,5.93419,1.218172,0.314312,1.865935,0.187417,0.124286,0,0,0.152571,0.023824,0.460426,0,0.055366,0,0.490185,0.059443
C6171000,0,4.433221,1.0426010000000001,0.274395,1.553532,0.102086,0.067981,0,0,0.05967,0.020481,0.284249,0,0.027275,0,0.389405,0
C6172000,3.619134,7.546717,1.254793,0.314904,1.894473,0.314654,0.188579,0.029509,0,0.226547,0.036583,0.622884,0,0.084023,0,0.509405,0
C6173000,0,5.421182,1.303236,0.240072,2.018222,0.132875,0.07905,0,0,0.072531,0,0.425468,0,0.035459,0,0.50598,0
C6174000,1.006024,6.093928,1.215892,0.318078,1.87131,0.186552,0.12553,0,0,0.137972,0.023385,0.462234,0,0.054491,0,0.488889,0.023498
C6175000,0,5.813381,0.113174,0.274407,2.005085,0.154378,0.102672,0,0,0.125728,0.01725,0.436509,0,0.041967,0,0.499319,0
C6176000,0,4.934722,1.018614,0.354838,1.424754,0.126795,0.092417,0,0,0.070378,0.018016,0.356498,0,0.037811,0,0.364819,0
C6177000,0.857858,4.829637,0.99194,0.331715,1.476346,0.13862,0.088546,0,0,0.079106,0.022738,0.408707,0,0.038682,0,0.3712,0
C6178000,8.002611,10.764822,2.136612,0.449575,3.515446,0.386789,0.219188,0.083594,0,0.225502,0.038428,0.4776,0,0.08799,0,1.000548,0
