station,pheopigment_mg_m3,chlorophyll_a_mg_m3,chlorophyll_c_mg_m3,chlorophyll_b_mg_m3,peridinin_mg_m3,caroten_mg_m3,lutein_mg_m3,hexanoyloxyfucoxanthin_19_mg_m3,butanoyloxyfucoxanthin_19_mg_m3,fucoxanthin_mg_m3,alloxanthin_mg_m3,zeaxanthin_mg_m3,neoxanthin_mg_m3,violaxanthin_mg_m3,diatoxanthin_mg_m3,diadinoxanthin_mg_m3,prasixanthin_mg_m3
C4009000,1.427773,4.105596,0.842968,0.188131,0.368315,0.13543,0,0.074412,0.042507,2.696026,0.080651,0.025268,0,0,0.035034,0.311723,0
C4010000,1.950736,4.424608,0.716305,0.078695,0.131811,0.088143,0,0.087856,0.034255,0.958783,0.03505,0.045431,0,0,0.070979,0.220631,0
C4011000,0.544457,1.132447,0.199927,0.020535,0.067976,0.03498,0,0.068523,0.009716,0.275052,0.014988,0.027111,0,0,0.015177,0.070599,0
C4012000,0.004382,0.089603,0.007199,0,0.004071,0.008518,0,0.016576,0.003873,0.00409,0.001896,0.042732,0,0,0.002149,0.005541,0
C4013000,0.004212,0.098819,0.011161,0.003665,0.012954,0.007457,0,0.019016,0.004223,0.003581,0.001196,0.037162,0,0,0.002343,0.008999,0
C4014000,0.983104,1.32622,0.768006,0,0.393274,0.073025,0,0.055017,0.03627,1.390172,0.043788,0.032844,0,0,0,0.122714,0
C4015000,5.575318,2.936983,1.091207,0,0.490687,0.098473,0,0.079456,0,1.850511,0.064667,0.021921,0,0,0,0.15322,0
C4016000,1.794914,5.087894,0.709244,0,0.160382,0.114735,0,0.047034,0.024365,1.743321,0.061226,0.037556,0,0,0.057337,0.29342,0
C4017000,1.751609,4.687781,0.763229,0,0.441839,0.115926,0,0.037023,0,1.643754,0.057521,0.046467,0,0,0.165389,0.357255,0
C4018000,0.636645,1.517151,0.201166,0,0.083548,0.041682,0,0.036435,0.007367,0.32152,0.01474,0.029817,0,0,0.041204,0.083515,0
C4019000,0.006102,0.10863,0.012639,0,0.007219,0,0,0.020475,0,0.008454,0.00246,0.030246,0,0,0.002893,0.01024,0
C4020000,0.055529,0.248449,0.029411,0,0.008171,0.017645,0,0.039984,0.006179,0.053998,0.005459,0.052662,0,0,0.003921,0.023779,0
C4021000,0.241541,0.370802,0.01237,0,0.012547,0.00798,0,0.022256,0.003373,0.099704,0.002702,0.023543,0,0,0.006226,0.026414,0
C4022000,0.721162,1.382964,0.146352,0,0.031733,0.025288,0,0.041388,0.006515,0.413161,0.01251,0.042083,0,0,0.022168,0.089543,0
C4023000,0.23819,1.190873,0.599582,0,0.127817,0.029641,0,0.034735,0,0.718226,0.012757,0.033662,0,0,0.014853,0.086198,0
C4024000,2.165901,2.367759,0.518101,0,0.044413,0.044134,0,0.035244,0,0.582094,0.01027,0.024157,0,0,0.023974,0.086607,0
C4025000,0.059376,0.175309,0.020685,0,0.003578,0.009182,0,0.018075,0.003918,0.050877,0,0.032164,0,0,0.00815,0.019806,0
C4026000,0.012919,0.231967,0.037402,0.011564,0.007198,0.014016,0,0.061304,0.011801,0.029965,0.005273,0.036875,0,0,0.003178,0.014824,0
C4027000,0.01,0.12,0.02,NA,0,0.01,0,0.03,0.01,0.03,0,0.02,0,0,NA,0.01,0
C4028000,0.012192,0.087878,0.013093,0.004976,0.002753,0.00703,0,0.017249,0.003609,0.010544,0.00101,0.029826,0,0,0.00173,0.0067,0
C4029000,0.240493,0.593422,0.082517,0,0.015941,0.014144,0,0.09939,0.021118,0.148562,0,0.063556,0,0,0.021378,0.077897,0
C4030000,0.030821,0.097614,0.011428,0.002731,0.002456,0.005981,0,0.016701,0.003654,0.019519,0,0.020748,0,0,0.002405,0.007906,0
C4031000,0.013664,0.208332,0.025856,0.009988,0.011214,0.017193,0,0.060107,0.007879,0.018488,0.007703,0.033538,0,0,0.004325,0.015864,0
C4032000,0.007168,0.176774,0.0172,0.007052,0.00536,0.011021,0,0.033985,0.006233,0.020922,0.001903,0.032532,0,0,0.002252,0.008707,0
C4033000,0.016049,0.186837,0.031988,0.007555,0.004141,0.00886,0,0.05403,0.012081,0.029091,0,0.024182,0,0,0.004505,0.013279,0
C4034000,0.00463,0.082602,0.009475,0.002797,0.001748,0.006298,0,0.021725,0.006021,0.003931,8.17e-4,0.027612,0,0,0.002433,0.0045,0
C4035000,0.002854,0.093007,0.010997,0.003555,0.003951,0.008577,0,0.022001,0.006277,0.005096,0.001234,0.028146,0,0,0.002192,0.005643,0
C4036000,0.601036,0.718756,0.064298,0.024135,0,0.069974,0,0.049429,0.012629,0.251189,0.014494,0.028115,0,0,0.009581,0.038241,0
C4037000,0.557658,0.720552,0.03017,0.028019,0,0.063824,0,0.025641,0.007058,0.20053,0.01714,0.026808,0,0,0,0.037849,0
C4038000,0.187104,0.423116,0.031816,0.010835,0,0.028636000000000002,0,0.030206,0.006877,0.123145,0.009602,0.0224,0,0,0.008753,0.039429,0
C4039000,0.243945,0.574082,0.03422,0.021391,0,0.03679,0,0.034009,0.005276,0.177234,0.008486,0.034675,0,0,0.015888,0.063509,0
C4040000,0.040315,0.261117,0.022757,0.008961,0.004736,0.022612,0,0.04115,0.008813,0.040086,0.004027,0.045259,0,0,0.008699,0.02302,0
C4041000,0.002667,0.117477,0.012922,0.006551,0.003453,0.008431,0,0.027905,0.00631,0.005879,0.002534,0.035106,0,0,0.003091,0.007784,0
C4042000,0.005328,0.102355,0.012814,0.008455,0.004593,0.007085,0,0.022006,0.005306,0.004382,0.004021,0.029978,0,0,0.002858,0.007621,0
C4043000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C4044000,0.016029,0.274303,0.036239,0.011925,0,0.017495,0,0.069137,0.01512,0.029475,0.003208,0.066727,0,0,0,0.012405,0
C4045000,0.337342,0.918231,0.044126,0.051618,0.062366,0.049681,0,0.064243,0.012654,0.249922,0.028239,0.059024,0,0,0,0.046837,0
C4046000,0.112798,0.551188,0.032603,0.04479,0,0.033824,0,0.057352,0.012489,0.137474,0.011693,0.04155,0,0,0.012657,0.038618,0
C4047000,0.156085,0.714466,0.084056,0.043883,0.017326,0.033085,0,0.089756,0.007317,0.173242,0.008552,0.042448,0,0,0.027201,0.074604,0
C4048000,0.256221,0.832157,0.032474,0.061705,0,0.046852,0,0.025566,0,0.216863,0.021734,0.055127,0,0,0,0.047283,0
C5005000,3.072268,1.137155,0.21729,0.037393,0.013669,0.01503,0,0.084867,0.017475,0.542037,0.017024,0.003775,0,0,0.017726,0.081303,0
C5006000,0,0.254392,0.034902,0,0.008134,0.003589,0,0.024191,0.006194,0.101335,0,0,0,0,0.003111,0.017539,0
C5007000,1.534434,0.511293,0.473252,0.095876,0.020736,0,0.00591,0.099676,0.026918,1.106612,0.006908,0.00996,0.007153,0,0.040766,0.123663,0
C5008000,3.914199,6.494385,0.608149,0.535403,0.202981,0.131975,0,0,0.045737,1.94634,0.045079,0.007796,0,0,0.014604,0.161431,0
C5009000,4.197227,8.388369,0.813891,0.150922,0.082192,0.132123,0,0,0.014136,2.737282,0.031556,0.008879,0.007206,0,0.028799,0.186118,0
C5010000,2.825636,11.727783,1.481444,0.091837,0.116776,0.134967,0,0.022448,0.013767,2.976491,0.037592,0,0.008866,0.022597,0.036424,0.241729,0
C5011000,5.9355,8.321501,1.36049,0.141259,0.12199,0.118433,0,0,0,3.054394,0.052919,0.007697,0,0,0,0.233346,0
C5012000,1.697552,6.190427,0.588585,0.349517,0.033532,0.095993,0,0.018887,0.020985,2.232415,0.051921,0.015082,0,0,0.072965,0.276727,0
C5013000,3.460495,9.72962,0.866266,0.375279,0.055319,0.148126,0,0,0.035259,3.56625,0.055166,0.012402,0.007236,0.008913,0.046709,0.249989,0
C5014000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5015000,7.964764,11.159251,0.932044,0.171481,0.093804,0.184172,0.011051,0.022064,0.008726,3.803214,0.212507,0.008554,0.007068,0.00346,0.09551,0.289471,0
C5016000,9.963799,14.455105,1.040739,0.6553,0.088251,0.332839,0,0.031095,0.008792,5.184827,0.065599,0.006103,0.015015,0.008288,0.114779,0.405474,0
C5017000,9.595612,14.480731,1.534552,0.571245,0.109622,0.360825,0.017952,0.016885,0,5.442662,0.079527,0.006637,0.015987,0.008849,0.119279,0.438599,0
C5018000,15.692952,14.533106,1.116928,0.403844,0.05187,0.247978,0,0.020132,0.011569,4.782707,0.073986,0.008526,0.010784,0.00614,0.145887,0.36683,0
C5019000,9.464286,12.072104,1.063336,0.553489,0.062514,0.20111,0,0.021218,0.009051,3.847912,0.095375,0.005435,0.007349,0.005158,0.10462,0.306928,0
C5020000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5021000,6.625561,10.012878,1.409218,0.513454,0.087285,0.025776,0,0.031623,0,4.721707,0.123371,0.019266,0.010367,0.006203,0.137898,0.403399,0
C5022000,3.950508,7.792723,0.602424,0.408455,0.064408000000000007,0.085126,0.008125,0.028105,0.010553,2.210903,0.118511,0.005169,0.006589,0,0.058472,0.197987,0
C5023000,4.396901,6.767515,0.634258,0.306519,0.031304,0.069687,0,0.020077,0.01129,2.201475,0.089299,0.007144,0,0,0.049032,0.178249,0
C5024000,1.360733,1.555231,0.189844,0.102647,0.017306,0.035185,0,0.020543,0.038093,0.483592,0.029169,0.005316,0.003359,0.017051,0.004785,0.045465,0
C5025000,1.563991,1.318202,0.137469,0.213975,0.032099,0.040976,0,0.022201,0.03196,0.303286,0.0042,0.013015,0.006044,0.031411,0.080693,0.005481,0
C5026000,1.687921,1.205966,0.131212,0.149674,0.041574,0.05106,0.006399,0.013445,0.024232,0.345427,0.0923,0.012484,0.030458,0.027187,0.019605,0.073119,0
C5027000,3.16365,1.592502,0.157456,0.206264,0.034386,0.012231,0,0.052896,0.020352,0.406648,0.062373,0.007088,0.015071,0,0.006494,0.039734,0
C5028000,4.236665,1.729283,0.137735,0.091799,0.040243,0.026684,0,0.01971,0.009566,0.633213,0.058696,0.004231,0.012835,0.012171,0.013601,0.049366,0
C5029000,2.318504,1.321671,0.096158,0.069527,0.022415,0.023802,0,0.005454,0.008083,0.393743,0.046957,0.004439,0.005953,0,0.011045,0.038516,0
C5030000,7.295983,2.824716,0.177332,0.149676,0.028673,0.05007,0,0,0,1.053746,0.070653,0.004521,0.01667,0.014914,0.021715,0.080731,0
C5031000,4.524294,3.547666,0.375741,0,0,0.039223,0,0.087731,0.08847,1.193451,0,0.020032,0,0,0.030418,0.114495,0
C5032000,3.164792,3.463201,0.377326,0,0,0.038216,0,0.085244,0.083447,1.097002,0,0.020357,0,0,0,0.112351,0
C5033000,0,1.048462,0.168168,0,0,0,0,0,0,0.276014,0,0,0,0,0,0.031925,0
C5034000,0,3.058364,0.51841,0,0,0.030746,0,0.064965,0.081118,0.729459,0,0,0,0,0,0.077203,0
C5035000,0,6.493807,1.161157,0,0,0.065983,0,0.068792,0.180451,1.570593,0,0,0,0,0,0.170028,0
C5036000,0,4.148734,0.746328,0,0,0.051748,0,0.042704,0.15653,1.206924,0,0,0,0,0,0.125417,0
C5037000,2.288321,9.459196,1.737069,0,0,0.122357,0,0,0.3077,2.545148,0,0,0,0,0,0.251346,0
C5038000,0,2.056904,0.333333,0,0,0.027615,0,0.019872,0.07855,0.59293,0,0,0,0,0,0.061767,0
C5039000,2.857201,4.744376,0.649491,0,0,0.066795,0,0.020979,0.098656,1.260586,0.032138,0,0,0,0,0.133952,0
C5040000,0,1.846554,0.222853,0,0,0.024579,0,0.040577,0.052256,0.535332,0,0,0,0,0,0.065437,0
C5041000,0,1.237026,0.178037,0,0,0,0,0.039969,0,0.302774,0,0,0,0,0,0.040754,0
C5042000,0,2.592332,0.378551,0,0,0.030717,0,0.02752,0.055342,0.607696,0,0,0,0,0,0.073657,0
C5043000,0,3.093782,0.451787,0,0,0.033765,0,0.025595,0.063634,0.702712,0,0,0,0,0,0.08878,0
C5044000,0,3.070011,0.486417,0,0,0.035549,0,0.033982,0.065773,0.745623,0,0,0,0,0,0.091997,0
C5045000,0,7.562923,1.233783,0,0,0.095436000000000007,0,0.074912,0.171177,1.909279,0,0,0,0,0.036238,0.214637,0
C5046000,1.479368,1.242343,0.149118,0,0.014569,0.023194,0,0.01265,0.03371,0.521757,0.0106,0.00596,0,0,0.006442,0.062325,0
C5047000,0.6072,0.759947,0.102474,0,0.015022,0.012777,0,0.008645,0.008487,0.268015,0.008669,0.003769,0,0,0,0.027934,0
C5048000,0.379751,0.245374,0.024838,0,0,0,0,0,0,0.058093,0,0,0,0,0.006014,0.008034,0
C5049000,0.527793,1.725363,0.324217,0,0.01826,0.019965,0,0.020945,0.055353,0.695047,0,0.00817,0,0,0.015867,0.072416,0
C5050000,0,1.040011,0.170159,0,0,0.01402,0,0.017088,0.026962,0.43313,0,0.011554,0,0,0.013368,0.060024,0
C5051000,0,0.668451,0.097762,0,0.0113,0.00992,0,0.011722,0.011934,0.271839,0,0.013547,0,0,0.007527,0.039639,0
C5052000,0,0.85335,0.139693,0,0.014536,0.012939,0,0.020582,0.020961,0.358519,0,0.011723,0,0,0.010618,0.045651,0
C5053000,0,0.567138,0.082148,0,0.015971,0.021338,0,0.008243,0,0.20292,0,0,0,0,0,0.036046,0
C5054000,0,0.208404,0.036713,0,0.009656,0.004606,0,0,0,0.080018,0,0,0,0,0,0.015464,0
C5055000,0.771931,1.214434,0.177903,0.0488,0.022344,0.034294,0,0.009096,0,0.376304,0.019438,0,0,0,0.008494,0.049037,0
C5056000,2.253351,2.86057,0.316073,0.033813,0.008081,0.040698,0,0.012041,0,1.069896,0.028005,0.004505,0,0,0.072078,0.092247,0
C5057000,5.95037,4.210854,0.436865,0.059094,0.07046,0.145407,0,0.018719,0,1.670502,0.074291,0.003047,0.015551,0,0.047877,0.170723,0
C5058000,6.808482,4.927417,0.366549,0.134699,0.023153,0.09671,0,0.024739,0,1.812617,0.082192,0.002676,0.02122,0.011669,0.041199,0.146488,0
C5059000,0.264691,1.155209,0.14195,0.061556,0.018129,0.045052,0,0.023702,0.008126,0.420714,0.014265,0.003578,0,0,0.023081,0.062626,0
C5060000,16.820852,1.754903,0.318836,0,0.055496,0.030668,0,0.037784,0.021405,1.448842,0.071864,0,0,0,0.013977,0.063056,0
C6001000,0,2.265291,0.239424,0.269651,0.08304,0.081172,0,0.215428,0,0.543663,0.053755,0,0.043627,0,0.028261,0.069546,0
C6002000,0,2.265291,0.239424,0.269651,0.08304,0.081172,0,0.215428,0,0.543663,0.053755,0,0.043627,0,0.028261,0.069546,0
C6003000,0,0.585265,0.087228,0.08162,0.040531,0.020602,0,0,0,0.224771,0,0,0,0,0.021128,0.024209,0
C6005000,0,1.901553,0.263293,0,0.106025,0.060499,0,0,0,0.764487,0.02578,0,0,0,0,0.085374,0
C6006000,0,1.719922,0.181986,0,0,0.048444,0,0.054551,0,0.757393,0,0,0,0,0,0.055344,0
C6007000,0,1.565347,0.192492,0.387097,0.119473,0.047699,0.048661,0.190451,0,0.40644,0,0,0.03688,0.020076,0.030571,0.072109,0
C6008000,0,0.500944,0.03582,0.193588,0.056238,0.014673,0.021827,0,0,0.081806,0,0,0.014913,0.009523,0.010044,0.020271,0
C6009000,0,0.322811,0.036942,0.044065,0.059033,0.00976,0,0.025242,0,0.046199,0,0.006709,0,0,0,0.020098,0
C6010000,0,0.533283,0.053332,0.128283,0.070566,0.015069,0.014165,0.035546,0,0.085672,0.008635,0,0.009864,0.005503,0,0.026422,0
C6011000,0,0.529385,0.048276,0.145996,0.061128,0.015527,0.015956,0.036689,0,0.084609,0,0,0.009741,0.005798,0.012908,0.021765,0
C6012000,0.359865,0.729788,0.073761,0.195154,0.057343,0.023274,0.019965,0,0,0.181489,0.006644,0,0.014646,0.010353,0.022207,0.028105,0
C6013000,0.257764,0.46551,0.043457,0.124806,0.05151,0.0136,0.018076,0,0,0.103278,0,0,0.010829,0.005936,0.015539,0.024334,0
C6014000,0.667531,0.756905,0.077315,0.207016,0.066243,0.02492,0.020269,0,0.007609,0.202943,0,0,0.01508,0.010546,0.027791,0.032676,0
C6015000,0,0.277124,0.025345,0.098035,0.022982,0.009468,0.008621,0,0.007509,0.051533,0,0,0.008098,0.004719,0.02603,0.010908,0
C6016000,0,0.411115,0.028131,0.151982,0.03252,0.012082,0.016838,0,0,0.068098,0,0,0.009984,0.008402,0.01743,0.014401,0
C6017000,0,1.562023,0.021703,1.37553,0.020495,0.048184,0.12265,0,0,0.107565,0.033334,0,0.0837,0.050809,0.013046,0.013149,0
C6018000,0,0.320755,0.018459,0.124277,0.033428,0.009253,0.026388000000000002,0,0,0.048812,0.005016,0,0.018643,0,0,0.01414,0
C6019000,0,0.541042,0.029531,0.275614,0.017493,0.01218,0.028466,0,0,0.088199,0.010184,0,0.019326,0.010931,0,0.013371,0
C6020000,0,0.666574,0.064779,0.100643,0.082148,0.019995,0,0.045814,0,0.127499,0,0.011731,0.013128,0,0,0.033405,0
C6021000,0,0.850332,0.071796,0.24303,0.104948,0.024624,0,0,0,0.177464,0.006979,0.021316,0.02836,0,0.010851,0.038355,0
C6022000,0.213543,0.952785,0.128292,0.104823,0.061422,0.030865,0,0.077214,0.018258,0.260663,0.005873,0.012446,0.007404,0.00429,0,0.040394,0
C6023000,0.615162,1.584334,0.162409,0.450421,0.22065,0.05296,0,0.011549,0.025005,0.31842,0.011421,0.039967,0.005355,0.023205,0,0.080842,0
C6024000,0,0.826011,0.105581,0.103375,0.02723,0.028714,0,0.088669,0,0.257891,0.008382,0.016204,0.005206,0.006211,0.005529,0.052085,0
C6025000,0.513295,0.363011,0.029388,0.099689,0.038781,0.01192,0.008658,0,0.006382,0.056885,0,0,0.007079,0.0037,0.020109,0.01157,0
C6026000,0.712379,1.067624,0.07976,0.402904,0.119422,0.016348,0,0,0.014393,0.127028,0.013357,0.024548,0.004311,0.021008,0.053646,0.043042,0
C6027000,0.811093,0.379096,0.024376,0.12461,0.02179,0.020269,0.006573,0,0.00836,0.056634,0,0.008569,0.008313,0,0.021736,0.009624,0
C6028000,0.357812,0.285526,0.030306,0.094397,0.013271,0.015356,0,0,0,0.071185,0,0,0.007089,0.003028,0.02052,0.009582,0
C6029000,0.262497,0.443498,0.045697,0.087737,0,0.017412,0,0,0.012592,0.116295,0,0,0.009684,0.002973,0.027152,0.012689,0
C6030000,0,0.959405,0.044064,0.544115,0.04329,0.021654,0,0,0.009327,0.118636,0.017819,0.049625,0.034607,0.020033,0.012881,0.021808,0
C6031000,0,0.540513,0.064455,0.096902,0.028899,0.012561,0,0.061439,0.011774,0.129047,0,0.012694,0.006801,0.004809,0.007517,0.020629,0
C6032000,0.281276,0.469898,0.063307,0.049973,0.016064,0.012468,0,0.041467,0.010231,0.140913,0,0.008091,0,0,0,0.017493,0
C6033000,0,0.583838,0.069199,0.118541,0.017842,0.01339,0,0.008815,0.014665,0.188554,0,0.020307,0.008147,0.005645,0,0.01965,0
C6034000,0,0.538918,0.049109,0.177404,0.020588,0.012268,0,0,0.011845,0.132576,0.006967,0.02202,0.01118,0.008533,0,0.0151,0
C6035000,0.236046,0.661009,0.078587,0.17113,0.069542,0.016025,0,0.007792,0.017333,0.157139,0,0.010719,0.008582,0.007222,0.015828,0.025544,0
C6036000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6037000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6038000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6039000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C6040000,0.308252,1.502647,0.050955,1.069896,0.07613,0.034467,0,0.079994,0,0.075518,0.032187,0.089458,0.055916,0.040305,0.011355,0.027981,0
C6041000,0.296522,0.298561,0.02645,0.104722,0.026408,0.01325,0,0.031427,0.009882,0.045167,0,0.007645,0.011145,0,0.011387,0.012768,0
C6042000,0,0.417014,0.030763,0.186654,0.018137,0.015539,0,0.048585,0.015224,0.040501,0,0.014919,0.013288,0.007642,0.012971,0.013406,0
C6043000,0.432385,1.392297,0.057039,0.792708,0.054804,0.03601,0,0.074809,0.011454,0.09043,0.030842,0.071227,0.0511,0.036166,0.018139,0.024538,0
C6044000,0.331607,1.507632,0.052407,0.946748,0.079145,0.033709,0,0.078959,0.011365,0.06701,0.031103,0.089148,0.057327,0.039283,0.010669,0.027611,0
C6045000,0,0.397322,0.02901,0.203087,0.015807,0.013678,0,0.04499,0.014199,0.037061,0,0.013876,0.011992,0.007506,0.012877,0.01252,0
C6046000,0.284096,1.354815,0.074425,0.72968,0.101858,0.032968,0,0.07334,0.013454,0.100421,0.022477,0.062744,0.042723,0.029432,0.022871,0.035862,0
C6047000,0.258482,1.35998,0.057024,0.787015,0.053092,0.012541,0,0.074645,0.01124,0.08936,0.026151,0.070869,0.050205,0.036535,0.018645,0.023931,0
C6048000,0.753573,0.296142,0.017635,0.118393,0.016755,0.013961,0,0.029861,0,0.034364,0,0.011859,0.012879,0,0.011274,0.008293,0
C6049000,0.850509,0.286181,0.017037,0.114432,0.017474,0.015678,0,0.027528,0,0.036093,0,0.006931,0.009946,0,0.011081,0.007696,0
C6050000,0.836803,1.210988,0.053815,0.89168,0.091527,0.03416,0,0.065693,0.01107,0.075264,0.00544,0.060488,0.042566,0.029873,0.0195,0.028929,0
C6051000,0.420024,0.497532,0.01715,0.292235,0.028304,0.00937,0,0.029506,0,0.033194,0.010609,0.029746,0.01562,0.011516,0,0.009691,0
C6052000,0,1.296256,0.02997,0.994573,0.041594,0.033657,0.093815,0.009993,0.009992,0.03956,0.004994,0.003412,0.053048,0.039362,0.011336,0.016414,0.058119
C6053000,0.591758,0.284966,0.020049,0.102396,0.024787,0.012304,0,0.02607,0.00838,0.03644,0,0.00571,0.008065,0,0.011183,0.009778,0
C6054000,17.26611,3.48646,0.345908,0.157196,0.154888,0.210303,0,0.037391,0,1.319727,0.043085,0.025343,0.039602,0.01821,0.168356,0.103164,0
C6055000,13.455652,4.188007,0.395023,0.189765,0.156769,0.13723,0,0.084884,0,1.345282,0,0.030155,0.046528,0.024576,0.194087,0.110209,0
C6056000,10.947557,3.343349,0.290387,0.168743,0.142226,0.17891,0,0.072889,0,1.069164,0,0.023789,0.044574,0.018913,0.163374,0.087735,0
C6057000,13.632027,4.091028,0.423986,0.596188,0.145559,0.126216,0,0,0,1.38147,0,0.021949,0,0.020423,0.206918,0.105075,0
C6058000,9.793921,4.408657,0.422457,1.077716,0.126964,0.116263,0,0.08231,0,1.408632,0.051139,0.105743,0.066824,0.046037,0.213643,0.137293,0
C6059000,17.115471,7.947951,0.546132,2.993783,0.214919,0.273236,0,0.108971,0,1.964821,0,0.21098,0.156649,0.139929,0.403368,0.175208,0
C6060000,31.28431,4.15857,0.351031,0.405495,0.20637,0.152195,0,0.078529,0,1.505245,0.061003,0.018239,0.052151,0.031539,0.207102,0.135581,0
C6061000,41.421833,7.235038,0.574926,0.423159,0.33077,0.216019,0.032533,0,0.037114,2.703508,0.183232,0.042493,0.080928,0,0.053185,0.215375,0
C6062000,13.297878,4.744036,0.212447,0,0.041792,0.147231,0,0.035569,0.046712,0.224569,0.119306,0,0,0,0.041604,0.053334,0
C6063000,3.645832,3.011935,0.159098,0.191946,0,0.074482,0,0,0.087161,0.960066,0.022506,0.017741,0,0,0.119901,0.087967,0
C6064000,8.681687,3.160933,0.394554,0.652821,0,0.08689,0,0.243157,0.090873,0.97434,0.100889,0.040008,0.047918,0,0,0,0
C6065000,20.574301,6.110605,0.587476,0,0,0.157749,0,0.180615,0,1.850085,0.070484,0.058785,0.158801,0,0.308617,0.043725,0
C6066000,6.2924620000000004,3.291669,0.287614,0.816542,0.110619,0.091763,0,0.066715,0,0.987796,0.123137,0,0,0,0.097249,0.095298,0
C6067000,1.863431,5.867592,0.330172,3.228043,0.125656,0.126321,0,0.422152,0.084817,0.888879,0.185586,0,0,0.106485,0.267339,0.100726,0.177315
C6068000,3.788249,1.284677,0.090514,0.632606,0.073306,0.062204,0,0,0,0.297353,0,0.043699,0.047862,0.016776,0.058184,0.043875,0
C6069000,5.036176,0.977603,0.097087,0.358369,0.089178,0.037975,0,0,0,0.352029,0,0.036185,0.059379,0,0.058784,0.046374,0
C6070000,3.698589,5.930966,0.335528,3.655885,0.586414,0.137221,0,0,0.07833,0.837285,0.127712,0.340526,0.289539,0.156209,0.115437,0.173389,0
C6071000,2.668007,1.719024,0.106669,1.236756,0.192782,0.037976,0,0,0,0.37551,0.038327,0.157006,0.108773,0.061908,0,0.053832,0
C6072000,0,5.927683,0.165761,3.657608,0.265773,0.100989,0,0,0,0.608409,0.15543,0.431219,0.361797,0.201007,0,0.100912,0
C6073000,3.742614,0.894908,0.122384,0.311192,0.162562,0,0,0,0.062483,0.388089,0,0.031847,0.053433,0,0.06911,0.062946,0
C6074000,25.039632,4.602674,0.577475,0.303823,0.233179,0.170907,0,0.066042,0,2.042351,0.065814,0.031549,0,0,0.239007,0.124798,0
C6075000,3.993182,4.616198,0.421241,1.242685,0.108858,0.10888,0,0.093557,0,1.235793,0.044782,0.121112,0.070778,0.063773,0.214382,0.134336,0
C6076000,0,1.885885,0.183875,0.282571,0.042671,0.072968,0,0.284969,0,0.317036,0,0.161494,0.029241,0,0.071539,0.058784,0
C6077000,10.83653,8.120137,0.813947,0.895129,0.18232400000000001,0.21182,0.060248,0.129334,0.038256,2.431764,0.224855,0.053502,0.062436,0.031086,0.027486,0.181097,0
C6078000,28.135049,4.351614,0.530752,0.449474,0.395702,0.199052,0,0.129413,0,1.950232,0,0.022804,0.074967,0.061825,0.270179,0.194407,0
C6079000,13.873369,3.907832,0.333199,0.398838,0.122512,0.131999,0,0,0,1.094131,0.05103,0.041034,0,0,0.142081,0.105913,0
C6080000,32.02911,2.906952,0.288272,0,0.222879,0.149354,0,0.056117,0,1.018577,0.066024,0,0,0,0.116677,0.108147,0
C6081000,12.850962000000001,6.503285,0.535974,1.710535,0.121649,0.169495,0,0,0,1.754901,0.073197,0.115194,0,0.107523,0.206012,0.148794,0
C6082000,19.858753,11.744469,0.972181,4.22994,0.2702,0.237502,0,0.085462,0,2.802828,0.153881,0.285343,0,0.322049,0.325489,0.209674,0
C6083000,21.187399,14.100884,1.2178,4.817971,0.433813,0.364963,0,0,0,3.708816,0.184512,0.298184,0,0.38173,0.377598,0.26885,0
C6084000,24.085492,10.809279,1.246061,2.313669,0.427627,0.261479,0,0,0,3.615274,0.119483,0.144176,0,0.186041,0.341603,0.237685,0
C6085000,15.039735,2.581897,0.275953,0,0.193772,0.083537,0,0,0,0.939399,0.040892,0,0,0,0.117235,0.098475,0
C6086000,10.482886,3.430833,0.454727,0,0.121856,0.093415,0,0,0,1.119456,0,0,0,0,0.161536,0.105598,0
C6087000,8.120789,2.25824,0.298096,0,0.059055,0.057709,0,0,0,0.777958,0,0,0,0,0.132016,0.076093,0
C6088000,6.68708,1.80486,0.275745,0,0.085829,0.053763,0,0,0,0.60165,0,0,0,0,0.092501,0.066153,0
C6089000,6.315516,1.471636,0.21314,0,0.099489,0.053822,0,0,0,0.482583,0,0,0,0,0.096859,0.053126,0
C6090000,9.422133,2.142226,0.433265,0,0.067321,0.068984,0,0,0,0.671942,0,0,0,0,0.133904,0.078808,0
C6091000,8.650514,2.858857,0.461448,0,0.063449,0.084719,0,0,0,0.805265,0,0,0,0,0.138429,0.085212,0
C6092000,23.429524,6.348344,0.969684,0,0.359604,0.16143,0,0,0,1.904052,0.036311,0,0,0,0.193309,0.190305,0
