station,wavelength,eu_w_m2_um,ed_w_m2_um,k_eu_m1,k_ed_m1
C3033000,456,80.295998,1271.630005,1.536,NA
C3033000,490,100.976997,1204.432007,1.186,NA
C3033000,509,NA,1247.637939,NA,NA
C3033000,532,166.906998,1198.468994,0.956,NA
C3033000,559,185.585999,1182.739014,0.83,NA
C3033000,619,105.948997,1104.546997,0.875,NA
C3033000,665,63.367001,975.374023,1.154,NA
C3033000,683,60.938,949.242004,1.132,NA
C3033000,705,43.325001,882.015991,1.203,NA
C3033000,779,6.745,807.169006,3.289,NA
C3033000,866,2.298,670.27301,6.27,NA
C3034000,411,39.243,858.484985,1.292,1.584
C3034000,443,55.91,1007.914001,1.14,1.255
C3034000,456,70.982002,1097.687988,1.02,1.108
C3034000,490,83.749001,1052.641968,0.583,0.668
C3034000,509,NA,1069.317993,NA,0.811
C3034000,532,140.677994,1067.843994,0.515,0.594
C3034000,559,154.725998,987.604004,0.437,0.311
C3034000,619,79.102997,979.788025,0.667,0.629
C3034000,665,47.456001,853.304016,0.909,0.8
C3034000,683,45.938,810.320007,0.907,0.849
C3034000,705,29.625999,773.880005,1.079,1.219
C3034000,779,5,731.432007,NA,2.865
C3034000,866,0.6,615.768005,NA,5.167
C3035000,411,29.664,975.27002,0.713,0.744
C3035000,443,37.000999,1187.636963,0.611,0.601
C3035000,456,43.997002,1226.597046,0.545,0.565
C3035000,490,54.220001,1178.352051,0.41,0.452
C3035000,509,NA,1196.737061,NA,0.332
C3035000,532,78.831001,1181.196045,0.283,0.316
C3035000,559,81.407997,1105.073975,0.232,0.258
C3035000,619,28.962999,1151.946045,0.491,0.469
C3035000,665,14.901,1029.031982,0.64,0.694
C3035000,683,16.459999,974.687012,0.592,0.682
C3035000,705,8.618,902.627991,0.838,0.863
C3035000,779,1.581,841.072021,3.312,2.829
C3035000,866,0.305,680.528015,4.319,5.394
C3036000,411,74.028,989.234009,0.566,NA
C3036000,443,108.956001,1155.406982,0.405,NA
C3036000,456,135.179001,1273.671997,0.358,NA
C3036000,490,164.427002,1205.296021,0.265,NA
C3036000,509,NA,1231.105957,NA,NA
C3036000,532,227.714005,1232.280029,0.191,NA
C3036000,559,219.477005,1183.314941,0.156,NA
C3036000,619,85.066002,1109.562012,0.157,NA
C3036000,665,49.515999,998.286011,0.268,NA
C3036000,683,45.84,835.005981,0.273,NA
C3036000,705,22.35,858.062012,0.427,NA
C3036000,779,3.617,815.528992,2.566,NA
C3036000,866,1.096,683.573975,4.555,NA
C3038000,411,49.049,964.737976,0.304,0.808
C3038000,443,74.569,1133.38501,0.175,0.782
C3038000,456,93.575996,1097.671997,0.14,0.639
C3038000,490,118.461998,1121.536987,0.075,0.428
C3038000,509,NA,1139.192017,NA,0.242
C3038000,532,160.619995,1179.468018,0.062,0.374
C3038000,559,147.203995,968.71698,0.048,0.294
C3038000,619,45.278,1042.743042,0.17,0.162
C3038000,665,24.409,819.828003,0.254,1.134
C3038000,683,23.465,919.242004,0.269,NA
C3038000,705,12.62,811.414001,0.54,NA
C3038000,779,1.683,799.280029,1.978,2.389
C3038000,866,0.396,659.182007,3.692,4.146
C3039000,411,37.716999,948.820984,0.402,0.512
C3039000,443,55.812,1108.843018,0.3,0.359
C3039000,456,68.726997,1154.712036,0.267,0.325
C3039000,490,83.202003,1101.593994,0.199,0.289
C3039000,509,NA,1188.012939,NA,0.24
C3039000,532,101.292,1155.359009,0.185,0.226
C3039000,559,88.156998,1081.909058,0.187,0.224
C3039000,619,25.783001,1051.435059,0.43,0.442
C3039000,665,14.234,870.796997,0.514,0.608
C3039000,683,13.916,826.796997,0.514,0.644
C3039000,705,6.95,819.757019,0.68,0.903
C3039000,779,0.811,753.698975,2.013,3.072
C3039000,866,0.156,640.25,3.22,5.686
C3040000,411,71.382004,956.85199,0.976,0.847
C3040000,443,106.401001,1122.567017,0.816,0.726
C3040000,456,130.337997,1233.910034,0.756,0.692
C3040000,490,153.792999,1178.362061,0.624,0.567
C3040000,509,NA,1163.228027,NA,0.595
C3040000,532,204.354004,1174.212036,0.576,0.541
C3040000,559,193.686005,1155.312988,0.58,0.466
C3040000,619,91.373001,1064.890991,1.065,0.765
C3040000,665,60.522999,988.799988,1.296,0.925
C3040000,683,57.605,925.794983,1.317,0.864
C3040000,705,32.948002,829.416992,1.597,1.126
C3040000,779,5.252,793.107971,4.021,3.222
C3040000,866,0.909,665.510986,4.374,4.769
C4001000,411,18.422001,NA,0.02,0.087
C4001000,443,23.146999,NA,0.018,0.072
C4001000,456,26.638,NA,0.022,0.082
C4001000,490,26.077999,NA,0.037,0.068
C4001000,509,NA,NA,NA,0.116
C4001000,532,15.715,NA,0.12,0.09
C4001000,559,9.897,NA,0.195,0.134
C4001000,619,2.743,NA,0.704,0.401
C4001000,665,1.683,NA,0.864,0.535
C4001000,683,2.179,NA,0.864,0.588
C4001000,705,0.875,NA,0.997,0.891
C4001000,779,NA,NA,NA,3.174
C4001000,866,NA,NA,NA,5.71
C4002000,411,19.846001,706.40802,0.062,0.169
C4002000,443,24.665001,817.429993,0.065,0.13
C4002000,456,29.176001,886.245972,0.073,0.112
C4002000,490,30.228001,848.695984,0.102,0.109
C4002000,509,NA,889.565979,NA,0.093
C4002000,532,25.66,850.112,0.239,0.068
C4002000,559,19.223,834.414978,0.304,0.122
C4002000,619,5.925,786.137024,0.676,0.384
C4002000,665,3.548,711.890991,0.777,0.5
C4002000,683,4.403,695.560974,0.742,0.59
C4002000,705,1.494,658.526001,0.839,0.873
C4002000,779,NA,597.080994,NA,3.171
C4002000,866,NA,485.458008,NA,5.262
C4003000,411,30.319,865.328979,0.024,0.11
C4003000,443,33.904999,1006.59198,0.021,0.079
C4003000,456,37.846001,1094.333984,0.026,0.074
C4003000,490,34.519001,1051.541992,0.048,0.062
C4003000,509,NA,1077.579956,NA,0.141
C4003000,532,23.177999,1039.871948,0.125,0.092
C4003000,559,15.502,1022.572998,0.169,0.06
C4003000,619,3.633,953.085022,0.425,0.368
C4003000,665,2.067,881.643982,0.517,0.449
C4003000,683,2.961,845.836975,0.52,0.532
C4003000,705,1.045,797.02002,0.631,0.824
C4003000,779,NA,711.690002,NA,2.804
C4003000,866,NA,580.716003,NA,4.829
C4004000,411,24.532,883.382996,NA,0.141
C4004000,443,27.549,1022.757996,NA,0.104
C4004000,456,31.356001,1117.186035,NA,0.076
C4004000,490,30.245001,1074.472046,0.028,0.029
C4004000,509,NA,1090.609985,NA,0.102
C4004000,532,22.738001,1055.624023,0.162,0.041
C4004000,559,16.121,1043.531982,0.239,0.092
C4004000,619,4.461,970.219971,0.593,0.327
C4004000,665,2.922,904.723999,0.74,0.464
C4004000,683,5.629,863.796021,0.83,0.494
C4004000,705,1.548,812.580017,0.818,0.749
C4004000,779,NA,721.551025,NA,2.735
C4004000,866,NA,596.190979,NA,4.922
C4005000,411,28.879,784.838989,NA,0.032
C4005000,443,31.653999,903.14502,NA,0.288
C4005000,456,34.499001,990.26001,NA,0.311
C4005000,490,29.091999,952.56897,NA,NA
C4005000,509,NA,963.067017,NA,NA
C4005000,532,15.66,931.223999,NA,0.754
C4005000,559,9.155,920.85199,NA,0.119
C4005000,619,1.99,858.190002,0.49,NA
C4005000,665,0.981,805.950989,0.173,0.561
C4005000,683,1.397,770.575012,0.14,0.245
C4005000,705,0.534,722.927002,0.454,NA
C4005000,779,NA,643.039978,NA,1.787
C4005000,866,NA,533.807007,NA,6.304
C4007000,411,5.183,257.747009,0.033,0.303
C4007000,443,7.067,296.657013,NA,0.274
C4007000,456,9.16,322.726013,NA,0.258
C4007000,490,12.131,311.346985,0.013,0.212
C4007000,509,NA,335.108002,NA,0.178
C4007000,532,12.961,316.341003,0.134,0.181
C4007000,559,10.813,299.079987,0.206,0.191
C4007000,619,3.674,300.786987,0.778,0.47
C4007000,665,2.526,291.063995,0.927,0.679
C4007000,683,3.796,293.389008,0.978,0.734
C4007000,705,1.548,268.821014,1.204,0.979
C4007000,779,NA,251.992004,NA,3.175
C4007000,866,NA,217.526993,NA,6.49
C4008000,411,12.568,519.45697,0.131,0.247
C4008000,443,16.358,602.750977,0.138,0.217
C4008000,456,20.346001,658.992004,0.158,0.2
C4008000,490,24.042,638.633972,0.23,0.178
C4008000,509,NA,674.664978,NA,0.161
C4008000,532,25.197001,642.629028,0.498,0.144
C4008000,559,22.785999,621.219971,0.653,0.149
C4008000,619,10.163,599.713013,1.254,0.436
C4008000,665,6.964,561.982971,1.445,0.599
C4008000,683,10.295,549.572021,1.451,0.662
C4008000,705,3.995,512.976013,1.649,0.895
C4008000,779,NA,474.687988,NA,3.285
C4008000,866,NA,390.872009,NA,5.094
C4009000,411,8.646,731.159973,0.079,0.263
C4009000,443,10.603,852.640015,0.086,0.255
C4009000,456,14.001,929.03302,0.101,0.235
C4009000,490,18.712,896.077026,0.13,0.194
C4009000,509,NA,930.442017,NA,0.186
C4009000,532,26.135,896.518982,0.327,0.17
C4009000,559,26.726999,876.611023,0.441,0.173
C4009000,619,12.561,828.25,1.097,0.456
C4009000,665,7.325,763.577026,1.315,0.631
C4009000,683,11.119,740.244019,1.351,0.696
C4009000,705,6.164,687.025024,1.701,0.93
C4009000,779,NA,628.648987,NA,2.986
C4009000,866,NA,510.971985,NA,5.408
C4010000,411,12.721,776.60199,NA,0.218
C4010000,443,13.895,917.174988,NA,0.221
C4010000,456,16.9,1005.913025,NA,0.2
C4010000,490,18.764,984.018005,0.026,0.172
C4010000,509,NA,1007.52301,NA,0.176
C4010000,532,17.274,983.71698,0.151,0.152
C4010000,559,13.769,979.093018,0.21,0.152
C4010000,619,3.84,919.409973,0.571,0.435
C4010000,665,2.012,856.622986,0.572,0.596
C4010000,683,3.492,821.721985,0.51,0.645
C4010000,705,1.097,764.155029,0.649,0.898
C4010000,779,NA,697.656006,NA,2.866
C4010000,866,NA,570.583984,NA,5.169
C4011000,411,34.354,824.346985,0.024,0.076
C4011000,443,36.983002,979.114014,0.013,0.073
C4011000,456,40.095001,1076.453979,0.013,0.062
C4011000,490,33.425999,1054.744019,0.014,0.039
C4011000,509,NA,1087.31897,NA,0.073
C4011000,532,16.476999,1061.796021,0.047,0.107
C4011000,559,9.839,1055.963013,0.075,0.078
C4011000,619,1.737,994.627014,0.335,0.379
C4011000,665,0.983,931.229004,0.463,0.49
C4011000,683,1.258,892.948975,0.444,0.545
C4011000,705,0.35,832.973999,NA,0.833
C4011000,779,NA,759.018005,NA,2.996
C4011000,866,NA,625.46698,NA,5.562
C4012000,411,28.669001,659.924988,0.032,0.027
C4012000,443,31.337,769.619995,0.025,0.025
C4012000,456,33.561001,848.823975,0.023,0.021
C4012000,490,27.084,827.103027,0.019,0.025
C4012000,509,NA,839.825989,NA,0.061
C4012000,532,12.655,817.810974,0.042,0.081
C4012000,559,7.335,812.007019,0.066,0.085
C4012000,619,1.262,765.271973,0.332,0.403
C4012000,665,0.628,727.760986,0.427,0.508
C4012000,683,0.686,697.380005,0.381,0.603
C4012000,705,0.266,646.651001,0.377,0.906
C4012000,779,NA,588.551025,NA,3.471
C4012000,866,NA,489.557007,NA,7.848
C4013000,411,17.687,400.377991,0.027,0.074
C4013000,443,19.1,464.251007,0.018,0.084
C4013000,456,20.4,512.380005,0.016,0.085
C4013000,490,16.162001,502.270996,0.004,0.081
C4013000,509,NA,507.174988,NA,0.091
C4013000,532,7.511,490.802002,0.037,0.126
C4013000,559,4.287,477.825989,0.057,0.145
C4013000,619,0.736,459.332001,0.318,0.437
C4013000,665,0.366,453.561005,0.395,0.613
C4013000,683,0.399,434.536011,0.337,0.614
C4013000,705,0.135,402.354004,0.28,0.967
C4013000,779,NA,372.854004,NA,3.336
C4013000,866,NA,309.804993,NA,7.171
C4014000,411,4.924,422.52301,0.743,0.86
C4014000,443,5.678,493.431,0.733,0.849
C4014000,456,7.635,546.099976,0.676,0.751
C4014000,490,11.934,537.075012,0.567,0.591
C4014000,509,NA,553.314026,NA,0.532
C4014000,532,24.165001,533.577026,0.631,0.433
C4014000,559,29.174,515.455994,0.619,0.351
C4014000,619,17.700001,500.800995,1.208,0.615
C4014000,665,7.133,499.072998,1.259,0.893
C4014000,683,13.282,480.207001,1.326,0.966
C4014000,705,8.731,451.59201,1.606,1.065
C4014000,779,NA,414.40799,NA,3.063
C4014000,866,NA,344.407013,NA,7.225
C4015000,411,5.354,610.630981,1.302,1.26
C4015000,443,5.402,708.638,1.338,1.262
C4015000,456,7.392,776.942017,1.217,1.152
C4015000,490,12.093,754.828979,0.959,0.901
C4015000,509,NA,785.872986,NA,0.774
C4015000,532,26.896999,754.385986,0.858,0.644
C4015000,559,41.424,727.870972,0.813,0.496
C4015000,619,26.593,700.737,1.313,0.738
C4015000,665,11.681,662.672974,1.595,1.14
C4015000,683,23.118999,642.439026,1.576,1.178
C4015000,705,19.597,605.594971,1.825,1.118
C4015000,779,NA,547.757019,NA,3.473
C4015000,866,NA,446.97699,NA,5.359
C4016000,411,8.291,825.888977,0.021,0.318
C4016000,443,9.774,964.343018,0.018,0.307
C4016000,456,12.746,1049.589966,0.036,0.282
C4016000,490,16.077999,1011.307007,0.094,0.238
C4016000,509,NA,1039.21106,NA,0.217
C4016000,532,19.115,1003.557983,0.328,0.202
C4016000,559,18.487,986.466003,0.461,0.188
C4016000,619,7.871,921.393982,1.008,0.469
C4016000,665,3.98,851.520996,1.088,0.661
C4016000,683,6.502,817.659973,1.089,0.714
C4016000,705,3.3,765.388977,1.321,0.929
C4016000,779,NA,686.987976,NA,3.152
C4016000,866,NA,556.919983,NA,5.427
C4017000,411,20.669001,841.11499,0.025,0.12
C4017000,443,23.806,979.594971,0.025,0.103
C4017000,456,27.291,1069.810059,0.031,0.09
C4017000,490,25.763,1034.13501,0.053,0.079
C4017000,509,NA,1054.96106,NA,0.094
C4017000,532,16.264999,1023.802979,0.149,0.093
C4017000,559,10.95,1013.710022,0.22,0.111
C4017000,619,2.728,943.979004,0.707,0.382
C4017000,665,1.573,876.343018,0.928,0.528
C4017000,683,2.324,838.210999,1.042,0.581
C4017000,705,1.009,785.533997,1.125,0.856
C4017000,779,NA,702.763977,NA,3.104
C4017000,866,NA,574.642029,NA,5.186
C4018000,411,22.763,738.328003,0.018,0.046
C4018000,443,25.171,859.484009,0.011,0.029
C4018000,456,28.089001,940.366028,0.013,0.032
C4018000,490,24.921,912.622009,0.02,NA
C4018000,509,NA,929.392029,NA,0.076
C4018000,532,14.772,903.101013,0.094,0.045
C4018000,559,9.375,892.028015,0.138,0.102
C4018000,619,1.889,838.700989,0.456,0.383
C4018000,665,1.045,784.210999,0.598,0.55
C4018000,683,1.518,752.585022,0.638,0.631
C4018000,705,0.46,704.419006,0.563,0.848
C4018000,779,NA,634.422974,NA,NA
C4018000,866,NA,517.116028,NA,NA
C4019000,411,21.431999,496.442993,0.023,0.083
C4019000,443,23.367001,573.583008,0.016,0.062
C4019000,456,25.021999,635.153992,0.015,0.077
C4019000,490,20.222,618.421997,0.013,0.087
C4019000,509,NA,624.75,NA,0.055
C4019000,532,9.305,609.004028,0.034,0.075
C4019000,559,5.316,605.526978,0.054,0.107
C4019000,619,0.883,571.439026,0.313,0.346
C4019000,665,0.4,555.169983,NA,0.59
C4019000,683,0.43,530.796021,NA,0.628
C4019000,705,0.16,494.803009,NA,0.888
C4019000,779,NA,450.182007,NA,3.368
C4019000,866,NA,378.97699,NA,5.172
C4020000,411,12.336,303.303986,0.078,0.149
C4020000,443,16.209,346.993011,0.062,0.122
C4020000,456,19.143,382.572998,0.058,0.113
C4020000,490,19.707001,371.14801,0.052,0.107
C4020000,509,NA,370.343994,NA,0.108
C4020000,532,13.375,356.15799,0.089,0.145
C4020000,559,8.671,347.178986,0.116,0.136
C4020000,619,1.765,328.739014,0.436,0.471
C4020000,665,0.993,333.687012,0.546,0.626
C4020000,683,1.144,319.005005,0.486,0.701
C4020000,705,0.358,290.152008,0.538,1.009
C4020000,779,NA,264.415985,NA,3.271
C4020000,866,NA,226.468994,NA,5.576
C4021000,411,16.752001,601.632996,0.097,0.209
C4021000,443,20.177999,693.869995,0.094,0.198
C4021000,456,23.996,767.940979,0.095,0.17
C4021000,490,25.834,747.598022,0.108,0.135
C4021000,509,NA,753.955994,NA,0.148
C4021000,532,23.094999,732.653015,0.197,0.128
C4021000,559,17.264,722.927979,0.228,0.157
C4021000,619,4.03,680.252991,0.492,0.432
C4021000,665,1.916,654.804993,0.511,0.558
C4021000,683,2.468,624.075012,0.394,0.622
C4021000,705,0.7,579.416016,NA,0.933
C4021000,779,NA,524.664978,NA,3.056
C4021000,866,NA,439.203003,NA,5.936
C4022000,411,13.633,718.922974,0.163,0.312
C4022000,443,15.379,824.484009,0.152,0.323
C4022000,456,18.983999,894.479004,0.137,0.308
C4022000,490,23.124001,848.002014,0.117,0.246
C4022000,509,NA,889.710999,NA,0.192
C4022000,532,27.162001,846.624023,0.159,0.184
C4022000,559,24.445999,835.099976,0.163,0.186
C4022000,619,5.691,773.971008,0.413,0.436
C4022000,665,2.95,698.653015,0.454,0.664
C4022000,683,4.222,678.820007,0.35,0.694
C4022000,705,1.58,632.320007,0.578,0.948
C4022000,779,NA,576.049988,NA,3.222
C4022000,866,NA,472.737,NA,6.13
C4023000,411,7.806,895.119995,0.193,0.532
C4023000,443,7.875,1038.302979,0.193,0.552
C4023000,456,10.586,1125.881958,0.189,0.481
C4023000,490,16.35,1073.86499,0.2,0.374
C4023000,509,NA,1108.141968,NA,0.32
C4023000,532,29.985001,1065.641968,0.317,0.272
C4023000,559,37.050999,1048.246948,0.387,0.205
C4023000,619,12.968,967.986023,0.753,0.464
C4023000,665,6.419,884.005981,0.761,0.735
C4023000,683,11.579,849.362,0.664,0.786
C4023000,705,4.754,789.099976,0.899,0.894
C4023000,779,NA,712.426025,NA,2.726
C4023000,866,NA,579.372009,NA,5.367
C4024000,411,14.58,923.749023,0.04,0.314
C4024000,443,15.118,1069.760986,0.028,0.313
C4024000,456,18.607,1160.957031,0.031,0.286
C4024000,490,22.174999,1108.812012,0.056,0.234
C4024000,509,NA,1136.061035,NA,0.198
C4024000,532,25.509001,1095.112061,0.191,0.188
C4024000,559,23.257,1076.563965,0.26,0.177
C4024000,619,7.426,994.784973,0.654,0.457
C4024000,665,4.551,914.023987,0.759,0.639
C4024000,683,8.206,874.544983,0.71,0.717
C4024000,705,3.018,812.044983,0.908,0.908
C4024000,779,NA,730.356018,NA,2.93
C4024000,866,NA,594.927002,NA,5.286
C4025000,411,35.643002,794.64801,0.032,0.105
C4025000,443,38.52,919.111023,0.026,0.092
C4025000,456,41.113998,998.237976,0.026,0.067
C4025000,490,33.224998,954.421997,0.029,0.049
C4025000,509,NA,980.492981,NA,0.042
C4025000,532,16.191,944.403015,0.074,0.103
C4025000,559,9.652,923.846008,0.107,0.189
C4025000,619,2.201,860.601013,0.461,0.376
C4025000,665,1.155,793.947998,0.544,0.533
C4025000,683,1.327,762.312988,0.509,0.554
C4025000,705,0.457,705.875,0.505,0.897
C4025000,779,NA,637.867004,NA,3.176
C4025000,866,NA,519.411987,NA,5.333
C4026000,411,5.325,174.709,0.025,0.132
C4026000,443,7.15,200.393005,0.007,0.1
C4026000,456,8.452,224.158005,NA,0.088
C4026000,490,8.724,212.518997,NA,0.059
C4026000,509,NA,215.990997,NA,0.068
C4026000,532,5.604,206.417999,NA,0.06
C4026000,559,3.346,202.380005,NA,0.069
C4026000,619,0.42,189.212006,0.199,0.328
C4026000,665,0.214,204.878006,0.255,0.478
C4026000,683,0.258,197.369995,0.246,0.504
C4026000,705,0.099,163.970993,0.355,0.82
C4026000,779,NA,169.888,NA,3.128
C4026000,866,NA,157.438004,NA,5.343
C4027000,411,17.466,444.962006,0.037,0.156
C4027000,443,21.339001,506.200012,0.029,0.155
C4027000,456,23.652,557.744995,0.028,0.159
C4027000,490,20.639,533.260986,0.027,0.161
C4027000,509,NA,538.466003,NA,0.123
C4027000,532,9.401,519.539978,0.057,0.168
C4027000,559,5.506,512.413025,0.087,0.221
C4027000,619,0.871,473.562988,0.331,0.444
C4027000,665,0.473,464.695007,0.44,0.631
C4027000,683,0.488,442.355988,0.334,0.677
C4027000,705,0.18,396.506989,0.378,0.953
C4027000,779,NA,373.653015,NA,3.013
C4027000,866,NA,320.612,NA,3.769
C4028000,411,34.266998,741.612,0.164,NA
C4028000,443,39.625,854.302979,0.139,NA
C4028000,456,43.960999,944.870972,0.142,NA
C4028000,490,37.219002,910.484009,0.15,NA
C4028000,509,NA,928.752991,NA,NA
C4028000,532,19.66,903.80603,0.267,NA
C4028000,559,13.084,900.887024,0.379,NA
C4028000,619,1.7,839.810974,NA,NA
C4028000,665,0.8,804.695984,NA,NA
C4028000,683,0.9,766.46698,NA,NA
C4028000,705,0.27,693.119019,NA,NA
C4028000,779,NA,647.986023,NA,NA
C4028000,866,NA,551.784973,NA,NA
C4029000,411,10.44,650.330017,0.067,0.079
C4029000,443,37.779999,731.330017,0.063,0.072
C4029000,456,40.990002,787.23999,0.059,0.07
C4029000,490,34.369999,733.5,0.054,0.07
C4029000,509,NA,757.48999,NA,0.092
C4029000,532,17.549999,714.23999,0.082,0.105
C4029000,559,10.7,692.349976,0.101,0.125
C4029000,619,1.69,626.909973,0.325,0.414
C4029000,665,0.81,571.070007,0.358,0.577
C4029000,683,0.88,548.51001,0.278,0.593
C4029000,705,0.3,492.420013,0.315,0.849
C4029000,779,NA,446.339996,NA,2.793
C4029000,866,NA,361.940002,NA,3.305
C4030000,411,25.798,715.309021,0.028,0.162
C4030000,443,29.275,809.588989,0.021,0.156
C4030000,456,31.896999,883.719971,0.021,0.152
C4030000,490,26.450001,833.349976,0.022,0.143
C4030000,509,NA,869.367981,NA,0.166
C4030000,532,11.168,831.232971,0.062,0.184
C4030000,559,6.273,822.388977,0.098,0.198
C4030000,619,0.624,760.406006,0.447,0.501
C4030000,665,0.29,701.609985,0.54,0.665
C4030000,683,0.317,670.140015,0.45,0.724
C4030000,705,0.117,616.041016,0.271,0.995
C4030000,779,NA,566.987976,NA,3.257
C4030000,866,NA,482.332001,NA,5.389
C4031000,411,13.217,382.290009,0.052,0.119
C4031000,443,17.367001,444.877014,0.037,0.099
C4031000,456,20.261,490.462006,0.032,0.098
C4031000,490,21.056,478.971008,0.021,0.075
C4031000,509,NA,498.355011,NA,0.087
C4031000,532,12.699,479.480011,0.024,0.116
C4031000,559,7.707,461.865997,0.04,0.154
C4031000,619,1.163,452.240997,0.371,0.447
C4031000,665,0.64,449.31601,0.433,0.609
C4031000,683,0.753,435.997009,0.345,0.647
C4031000,705,0.261,391.865997,0.443,0.945
C4031000,779,NA,383.333008,NA,2.929
C4031000,866,NA,318.884003,NA,10.173
C4032000,411,25.771999,787.482971,0.029,0.083
C4032000,443,29.355,905.77002,0.013,0.087
C4032000,456,32.036999,989.716003,0.01,0.08
C4032000,490,26.485001,963.898987,0.008,0.077
C4032000,509,NA,1017.379028,NA,0.115
C4032000,532,12.767,950.926025,0.063,0.17
C4032000,559,7.875,873.86499,0.118,0.156
C4032000,619,1.2,893.61499,NA,0.448
C4032000,665,0.7,773.296997,NA,0.674
C4032000,683,0.8,785.249023,NA,0.719
C4032000,705,0.2,703.153015,NA,1.017
C4032000,779,NA,663.552002,NA,NA
C4032000,866,NA,544.945007,NA,NA
C4033000,411,25.165001,873.440002,0.042,0.678
C4033000,443,29.403999,988.974976,0.032,0.771
C4033000,456,32.056999,1085.529053,0.03,0.814
C4033000,490,26.771999,1019.843994,0.028,0.827
C4033000,509,NA,1040.501953,NA,0.912
C4033000,532,11.636,1004.573975,0.048,1.175
C4033000,559,6.191,1003.164978,0.063,1.144
C4033000,619,0.502,917.515991,0.263,1.467
C4033000,665,0.191,851.408997,0.298,1.802
C4033000,683,0.223,805.174011,0.216,1.751
C4033000,705,0.092,719.060974,0.181,1.99
C4033000,779,NA,667.580994,NA,4.615
C4033000,866,NA,564.502014,NA,5.299
C4034000,411,31.52,694.633972,0.044,NA
C4034000,443,34.255001,805.249023,0.034,NA
C4034000,456,36.817001,879.947021,0.032,NA
C4034000,490,29.035999,847.151001,0.024,NA
C4034000,509,NA,863.271973,NA,NA
C4034000,532,14.084,836.768005,0.083,NA
C4034000,559,8.485,808.401001,0.12,NA
C4034000,619,1.835,771.929993,0.533,NA
C4034000,665,1.029,720.786011,0.685,NA
C4034000,683,1.11,699.73999,0.632,NA
C4034000,705,0.401,621.802002,0.612,NA
C4034000,779,NA,588.86499,NA,NA
C4034000,866,NA,475.798004,NA,NA
C4035000,411,6.798,170.244003,0.029,0.084
C4035000,443,6.964,182.447998,0.024,0.077
C4035000,456,7.365,194.039001,0.023,0.074
C4035000,490,5.553,169.169006,0.024,0.072
C4035000,509,NA,165.574997,NA,0.084
C4035000,532,2.307,148.102005,0.054,0.104
C4035000,559,1.264,135.093002,0.076,0.123
C4035000,619,0.19,114.690002,0.326,0.413
C4035000,665,0.1,107.705002,0.43,0.569
C4035000,683,0.118,102.122002,0.338,0.618
C4035000,705,0.041,85.879997,0.263,0.911
C4035000,779,NA,78.125,NA,3.032
C4035000,866,NA,59.581001,NA,4.578
C4036000,411,13.674,312.86499,0.286,0.295
C4036000,443,22.919001,371.608002,0.255,0.239
C4036000,456,28.518999,417.101013,0.246,0.229
C4036000,490,32.881001,410.35199,0.218,0.204
C4036000,509,NA,428.181,NA,0.214
C4036000,532,33.157001,413.710999,0.286,0.225
C4036000,559,28.368999,396.875,0.357,0.237
C4036000,619,13.944,392.838989,1.012,0.551
C4036000,665,10.633,405.270996,1.278,0.706
C4036000,683,11.623,392.70401,1.256,0.737
C4036000,705,4.739,343.035004,1.485,1.048
C4036000,779,NA,341.302002,NA,3.278
C4036000,866,NA,277.606995,NA,7.171
C4037000,411,15.827,448.28299,0.211,0.185
C4037000,443,24.684,524.299011,0.216,0.161
C4037000,456,29.639999,579.33197,0.22,0.166
C4037000,490,31.833,566.073975,0.244,0.136
C4037000,509,NA,573.742004,NA,0.141
C4037000,532,28.922001,557.124023,0.358,0.147
C4037000,559,25.384001,539.494019,0.534,0.187
C4037000,619,8.361,517.991028,0.775,0.458
C4037000,665,4.957,502.859009,0.9,0.609
C4037000,683,5.725,482.562012,0.924,0.636
C4037000,705,2.312,427.645996,1.07,0.944
C4037000,779,NA,410.25,NA,3.448
C4037000,866,NA,335.066986,NA,5.923
C4038000,411,22.200001,643.846008,0.185,0.189
C4038000,443,33.289001,753.322021,0.221,0.158
C4038000,456,39.359001,829.396973,0.237,0.116
C4038000,490,40.573002,809.705017,0.295,0.102
C4038000,509,NA,818.453979,NA,0.131
C4038000,532,35.951,801.351013,0.515,0.102
C4038000,559,27.834999,783.112976,0.612,0.135
C4038000,619,12.374,747.22699,1.063,0.447
C4038000,665,7.679,707.672974,1.201,0.567
C4038000,683,8.937,680.437012,1.222,0.65
C4038000,705,3.979,606.487,1.416,0.926
C4038000,779,NA,575.197021,NA,3.485
C4038000,866,NA,467.506012,NA,5.933
C4039000,411,23.240999,777.411987,0.145,0.177
C4039000,443,32.719002,894.247009,0.171,0.151
C4039000,456,37.810001,978.375977,0.181,0.146
C4039000,490,36.244999,933.463989,0.221,0.132
C4039000,509,NA,936.564026,NA,0.146
C4039000,532,28.191,912.130005,0.455,0.153
C4039000,559,21.466999,904.661011,0.583,0.189
C4039000,619,9.552,833.955994,1.217,0.452
C4039000,665,5.676,779.749023,1.364,0.591
C4039000,683,6.195,742.453979,1.327,0.631
C4039000,705,2.302,660.507996,1.377,0.935
C4039000,779,NA,616.367981,NA,3.082
C4039000,866,NA,510.973999,NA,6.488
C4040000,411,30.688999,767.763977,0.058,0.103
C4040000,443,34.832001,889.971985,0.052,0.015
C4040000,456,37.987,967.599976,0.052,NA
C4040000,490,31.736,924.823975,0.057,0.021
C4040000,509,NA,944.018982,NA,NA
