wl [nm]	refractive_index 	+/- error 
at T=20.0 degC, S= 0.0 PSU, depol.ratio=0.039, Theta=90.0 deg
300.0	   1.3599867843	   0.0000300000
302.0	   1.3594432476	   0.0000300000
304.0	   1.3589135545	   0.0000300000
306.0	   1.3583972335	   0.0000300000
308.0	   1.3578938321	   0.0000300000
310.0	   1.3574029165	   0.0000300000
312.0	   1.3569240700	   0.0000300000
314.0	   1.3564568926	   0.0000300000
316.0	   1.3560010004	   0.0000300000
318.0	   1.3555560243	   0.0000300000
320.0	   1.3551216099	   0.0000300000
322.0	   1.3546974167	   0.0000300000
324.0	   1.3542831171	   0.0000300000
326.0	   1.3538783962	   0.0000300000
328.0	   1.3534829514	   0.0000300000
330.0	   1.3530964913	   0.0000300000
332.0	   1.3527187356	   0.0000300000
334.0	   1.3523494145	   0.0000300000
336.0	   1.3519882685	   0.0000300000
338.0	   1.3516350474	   0.0000300000
340.0	   1.3512895105	   0.0000300000
342.0	   1.3509514257	   0.0000300000
344.0	   1.3506205696	   0.0000300000
346.0	   1.3502967267	   0.0000300000
348.0	   1.3499796894	   0.0000300000
350.0	   1.3496692575	   0.0000300000
352.0	   1.3493652380	   0.0000300000
354.0	   1.3490674445	   0.0000300000
356.0	   1.3487756974	   0.0000300000
358.0	   1.3484898234	   0.0000300000
360.0	   1.3482096551	   0.0000300000
362.0	   1.3479350310	   0.0000300000
364.0	   1.3476657950	   0.0000300000
366.0	   1.3474017967	   0.0000300000
368.0	   1.3471428903	   0.0000300000
370.0	   1.3468889355	   0.0000300000
372.0	   1.3466397963	   0.0000300000
374.0	   1.3463953415	   0.0000300000
376.0	   1.3461554440	   0.0000300000
378.0	   1.3459199814	   0.0000300000
380.0	   1.3456888347	   0.0000300000
382.0	   1.3454618894	   0.0000300000
384.0	   1.3452390343	   0.0000300000
386.0	   1.3450201620	   0.0000300000
388.0	   1.3448051686	   0.0000300000
390.0	   1.3445939533	   0.0000300000
392.0	   1.3443864189	   0.0000300000
394.0	   1.3441824709	   0.0000300000
396.0	   1.3439820180	   0.0000300000
398.0	   1.3437849718	   0.0000300000
400.0	   1.3435912464	   0.0000300000
402.0	   1.3434007589	   0.0000300000
404.0	   1.3432134288	   0.0000300000
406.0	   1.3430291780	   0.0000300000
408.0	   1.3428479309	   0.0000300000
410.0	   1.3426696143	   0.0000300000
412.0	   1.3424941569	   0.0000300000
414.0	   1.3423214899	   0.0000300000
416.0	   1.3421515464	   0.0000300000
418.0	   1.3419842614	   0.0000300000
420.0	   1.3418195720	   0.0000300000
422.0	   1.3416574170	   0.0000300000
424.0	   1.3414977373	   0.0000300000
426.0	   1.3413404751	   0.0000300000
428.0	   1.3411855745	   0.0000300000
430.0	   1.3410329814	   0.0000300000
432.0	   1.3408826428	   0.0000300000
434.0	   1.3407345078	   0.0000300000
436.0	   1.3405885263	   0.0000300000
438.0	   1.3404446502	   0.0000300000
440.0	   1.3403028325	   0.0000300000
442.0	   1.3401630274	   0.0000300000
444.0	   1.3400251906	   0.0000300000
446.0	   1.3398892789	   0.0000300000
448.0	   1.3397552504	   0.0000300000
450.0	   1.3396230643	   0.0000300000
452.0	   1.3394926809	   0.0000300000
454.0	   1.3393640616	   0.0000300000
456.0	   1.3392371687	   0.0000300000
458.0	   1.3391119659	   0.0000300000
460.0	   1.3389884175	   0.0000300000
462.0	   1.3388664889	   0.0000300000
464.0	   1.3387461465	   0.0000300000
466.0	   1.3386273574	   0.0000300000
468.0	   1.3385100897	   0.0000300000
470.0	   1.3383943123	   0.0000300000
472.0	   1.3382799950	   0.0000300000
474.0	   1.3381671082	   0.0000300000
476.0	   1.3380556232	   0.0000300000
478.0	   1.3379455120	   0.0000300000
480.0	   1.3378367474	   0.0000300000
482.0	   1.3377293028	   0.0000300000
484.0	   1.3376231522	   0.0000300000
486.0	   1.3375182705	   0.0000300000
488.0	   1.3374146330	   0.0000300000
490.0	   1.3373122156	   0.0000300000
492.0	   1.3372109951	   0.0000300000
494.0	   1.3371109486	   0.0000300000
496.0	   1.3370120538	   0.0000300000
498.0	   1.3369142890	   0.0000300000
500.0	   1.3368176331	   0.0000300000
502.0	   1.3367220654	   0.0000300000
504.0	   1.3366275656	   0.0000300000
506.0	   1.3365341142	   0.0000300000
508.0	   1.3364416920	   0.0000300000
510.0	   1.3363502801	   0.0000300000
512.0	   1.3362598604	   0.0000300000
514.0	   1.3361704148	   0.0000300000
516.0	   1.3360819261	   0.0000300000
518.0	   1.3359943770	   0.0000300000
520.0	   1.3359077511	   0.0000300000
522.0	   1.3358220321	   0.0000300000
524.0	   1.3357372040	   0.0000300000
526.0	   1.3356532514	   0.0000300000
528.0	   1.3355701591	   0.0000300000
530.0	   1.3354879123	   0.0000300000
532.0	   1.3354064965	   0.0000300000
534.0	   1.3353258976	   0.0000300000
536.0	   1.3352461018	   0.0000300000
538.0	   1.3351670956	   0.0000300000
540.0	   1.3350888657	   0.0000300000
542.0	   1.3350113991	   0.0000300000
544.0	   1.3349346834	   0.0000300000
546.0	   1.3348587061	   0.0000300000
548.0	   1.3347834551	   0.0000300000
550.0	   1.3347089187	   0.0000300000
552.0	   1.3346350852	   0.0000300000
554.0	   1.3345619433	   0.0000300000
556.0	   1.3344894820	   0.0000300000
558.0	   1.3344176905	   0.0000300000
560.0	   1.3343465580	   0.0000300000
562.0	   1.3342760743	   0.0000300000
564.0	   1.3342062292	   0.0000300000
566.0	   1.3341370128	   0.0000300000
568.0	   1.3340684152	   0.0000300000
570.0	   1.3340004271	   0.0000300000
572.0	   1.3339330390	   0.0000300000
574.0	   1.3338662418	   0.0000300000
576.0	   1.3338000265	   0.0000300000
578.0	   1.3337343845	   0.0000300000
580.0	   1.3336693070	   0.0000300000
582.0	   1.3336047857	   0.0000300000
584.0	   1.3335408124	   0.0000300000
586.0	   1.3334773789	   0.0000300000
588.0	   1.3334144773	   0.0000300000
590.0	   1.3333520999	   0.0000300000
592.0	   1.3332902391	   0.0000300000
594.0	   1.3332288875	   0.0000300000
596.0	   1.3331680376	   0.0000300000
598.0	   1.3331076824	   0.0000300000
600.0	   1.3330478149	   0.0000300000
602.0	   1.3329884280	   0.0000300000
604.0	   1.3329295152	   0.0000300000
606.0	   1.3328710698	   0.0000300000
608.0	   1.3328130852	   0.0000300000
610.0	   1.3327555551	   0.0000300000
612.0	   1.3326984733	   0.0000300000
614.0	   1.3326418336	   0.0000300000
616.0	   1.3325856300	   0.0000300000
618.0	   1.3325298567	   0.0000300000
620.0	   1.3324745077	   0.0000300000
622.0	   1.3324195775	   0.0000300000
624.0	   1.3323650604	   0.0000300000
626.0	   1.3323109510	   0.0000300000
628.0	   1.3322572439	   0.0000300000
630.0	   1.3322039339	   0.0000300000
632.0	   1.3321510157	   0.0000300000
634.0	   1.3320984842	   0.0000300000
636.0	   1.3320463345	   0.0000300000
638.0	   1.3319945617	   0.0000300000
640.0	   1.3319431610	   0.0000300000
642.0	   1.3318921276	   0.0000300000
644.0	   1.3318414568	   0.0000300000
646.0	   1.3317911442	   0.0000300000
648.0	   1.3317411852	   0.0000300000
650.0	   1.3316915754	   0.0000300000
652.0	   1.3316423106	   0.0000300000
654.0	   1.3315933864	   0.0000300000
656.0	   1.3315447987	   0.0000300000
658.0	   1.3314965433	   0.0000300000
660.0	   1.3314486163	   0.0000300000
662.0	   1.3314010136	   0.0000300000
664.0	   1.3313537314	   0.0000300000
666.0	   1.3313067659	   0.0000300000
668.0	   1.3312601132	   0.0000300000
670.0	   1.3312137697	   0.0000300000
672.0	   1.3311677317	   0.0000300000
674.0	   1.3311219957	   0.0000300000
676.0	   1.3310765581	   0.0000300000
678.0	   1.3310314155	   0.0000300000
680.0	   1.3309865644	   0.0000300000
682.0	   1.3309420015	   0.0000300000
684.0	   1.3308977236	   0.0000300000
686.0	   1.3308537273	   0.0000300000
688.0	   1.3308100095	   0.0000300000
690.0	   1.3307665671	   0.0000300000
692.0	   1.3307233969	   0.0000300000
694.0	   1.3306804959	   0.0000300000
696.0	   1.3306378612	   0.0000300000
698.0	   1.3305954897	   0.0000300000
700.0	   1.3305533787	   0.0005000000
702.0	   1.3305115252	   0.0005000000
704.0	   1.3304699265	   0.0005000000
706.0	   1.3304285797	   0.0005000000
708.0	   1.3303874823	   0.0005000000
710.0	   1.3303466314	   0.0005000000
712.0	   1.3303060244	   0.0005000000
714.0	   1.3302656589	   0.0005000000
716.0	   1.3302255321	   0.0005000000
718.0	   1.3301856417	   0.0005000000
720.0	   1.3301459850	   0.0005000000
722.0	   1.3301065598	   0.0005000000
724.0	   1.3300673635	   0.0005000000
726.0	   1.3300283938	   0.0005000000
728.0	   1.3299896485	   0.0005000000
