wl [nm]	refractive_index 	+/- error 
at T=20.0 degC, S=200.0 PSU, depol.ratio=0.039, Theta=90.0 deg
612.0	   1.3691430685	   0.0000300000
614.0	   1.3690741296	   0.0000300000
616.0	   1.3690057067	   0.0000300000
618.0	   1.3689377930	   0.0000300000
620.0	   1.3688703821	   0.0000300000
622.0	   1.3688034675	   0.0000300000
624.0	   1.3687370429	   0.0000300000
626.0	   1.3686711020	   0.0000300000
628.0	   1.3686056388	   0.0000300000
630.0	   1.3685406473	   0.0000300000
632.0	   1.3684761216	   0.0000300000
634.0	   1.3684120559	   0.0000300000
636.0	   1.3683484445	   0.0000300000
638.0	   1.3682852818	   0.0000300000
640.0	   1.3682225624	   0.0000300000
642.0	   1.3681602809	   0.0000300000
644.0	   1.3680984318	   0.0000300000
646.0	   1.3680370101	   0.0000300000
648.0	   1.3679760107	   0.0000300000
650.0	   1.3679154284	   0.0000300000
652.0	   1.3678552583	   0.0000300000
654.0	   1.3677954956	   0.0000300000
656.0	   1.3677361354	   0.0000300000
658.0	   1.3676771731	   0.0000300000
660.0	   1.3676186040	   0.0000300000
662.0	   1.3675604236	   0.0000300000
664.0	   1.3675026274	   0.0000300000
666.0	   1.3674452110	   0.0000300000
668.0	   1.3673881701	   0.0000300000
670.0	   1.3673315003	   0.0000300000
672.0	   1.3672751976	   0.0000300000
674.0	   1.3672192577	   0.0000300000
676.0	   1.3671636766	   0.0000300000
678.0	   1.3671084503	   0.0000300000
680.0	   1.3670535749	   0.0000300000
682.0	   1.3669990465	   0.0000300000
684.0	   1.3669448613	   0.0000300000
686.0	   1.3668910156	   0.0000300000
688.0	   1.3668375056	   0.0000300000
690.0	   1.3667843277	   0.0000300000
692.0	   1.3667314783	   0.0000300000
694.0	   1.3666789540	   0.0000300000
696.0	   1.3666267512	   0.0000300000
698.0	   1.3665748665	   0.0000300000
700.0	   1.3665232966	   0.0005000000
702.0	   1.3664720382	   0.0005000000
704.0	   1.3664210879	   0.0005000000
706.0	   1.3663704426	   0.0005000000
708.0	   1.3663200991	   0.0005000000
710.0	   1.3662700543	   0.0005000000
712.0	   1.3662203052	   0.0005000000
714.0	   1.3661708486	   0.0005000000
716.0	   1.3661216816	   0.0005000000
718.0	   1.3660728012	   0.0005000000
720.0	   1.3660242046	   0.0005000000
722.0	   1.3659758890	   0.0005000000
724.0	   1.3659278514	   0.0005000000
726.0	   1.3658800892	   0.0005000000
728.0	   1.3658325996	   0.0005000000
730.0	   1.3657853798	   0.0005000000
732.0	   1.3657384273	   0.0005000000
734.0	   1.3656917395	   0.0005000000
